country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
663	Saint Martin (French part)	-1.4265	-10.077	-10.426	-6.9225	-7.3945	-7.831	-9.3205	-10.0485	-11.457	-13.6435	-15.4255	-17.9815	-19.225	-21.5055	-22.217	-25.5465	-30.4215
670	Saint Vincent and the Grenadines	-0.2465	-4.691	-7.988	-8.4975	-8.218	-7.8205	-7.638	-7.369	-7.1625	-6.865	-6.5085	-6.647	-6.727	-6.7405	-6.542	-6.484	-6.4075
534	Sint Maarten (Dutch part)	0.2595	1.574	-4.463	-7.3485	-7.6615	-7.6375	-7.4	-7.9715	-9.0475	-10.1695	-11.939	-13.269	-16.042	-17.4965	-19.614	-26.1035	-30.0845
780	Trinidad and Tobago	0.2135	-8.602	-85.4895	-87.902	-87.2075	-86.109	-80.8055	-80.621	-76.6605	-77.466	-73.2	-70.6245	-68.2915	-67.1725	-64.095	-65.1375	-61.9135
796	Turks and Caicos Islands	0.341	0.705	-4.5285	-5.996	-6.2125	-6.4375	-6.0375	-6.6655	-6.8135	-7.48	-7.9895	-8.8305	-8.9765	-8.9475	-9.013	-10.653	-11.5215
850	United States Virgin Islands	0	-4.024	-13.017	-13.5085	-12.186	-11.9145	-11.447	-11.877	-11.51	-13.1595	-12.886	-14.053	-15.523	-16.4695	-16.578	-17.582	-20.3545
916	Central America	-103.306	-984.601	-1942.386	-2421.6835	-2767.3005	-2993.2425	-3214.3245	-3394.115	-3534.208	-3512.491	-3694.8375	-3731.89	-3680.3745	-3698.684	-3679.1325	-3594.1185	-3571.8715
84	Belize	0.032	2.712	-24.8605	-33.806	-36.454	-38.3115	-40.107	-41.789	-41.911	-40.7415	-40.4145	-40.1305	-43.26	-44.255	-42.3325	-44.926	-49.955
188	Costa Rica	0.5145	-0.1225	-28.135	-40.8745	-53.883	-66.3615	-67.5325	-71.406	-71.906	-73.305	-73.1205	-72.2595	-72.606	-70.15	-70.391	-68.5335	-66.3415
222	El Salvador	-12.6065	-174.45	-413.7755	-497.2755	-500.8145	-519.623	-503.499	-498.495	-494.875	-468.064	-458.7305	-437.8195	-448.5055	-440.8095	-447.077	-444.6385	-446.5165
320	Guatemala	-11.9635	-101.586	-195.105	-244.7695	-281.16	-309.242	-324.781	-342.4275	-370.414	-394.612	-384.8465	-406.719	-412.6385	-406.024	-402.12	-416.5345	-393.7615
340	Honduras	-3.0995	-35.5165	-68.6675	-81.3745	-88.448	-99.6305	-112.7185	-123.17	-132.9975	-137.866	-151.025	-161.6415	-169.2215	-185.6505	-183.895	-195.5455	-204.6535
484	Mexico	-73.728	-749.4875	-1685.3465	-2149.937	-2454.863	-2681.537	-2942.945	-3127.482	-3204.4405	-3199.314	-3365.5295	-3454.7145	-3445.257	-3449.8005	-3383.0675	-3289.5995	-3257.2765
558	Nicaragua	-5.1915	-55.78	-114.19	-148.3295	-178.8305	-203.149	-217.644	-232.637	-244.1025	-254.915	-258.338	-273.247	-274.833	-275.4915	-286.234	-287.3315	-277.86
591	Panama	2.7365	28.675	0.2805	-19.1555	-33.703	-38.949	-43.811	-44.2275	-46.6585	-50.2195	-51.442	-55.216	-57.1625	-58.622	-55.293	-52.7935	-57.501
931	South America	-162.688	-1576.451	-3697.168	-4204.9185	-4493.374	-4667.3705	-4821.5205	-4919.6475	-5046.1455	-5042.4805	-5108.9235	-5041.1345	-5202.177	-4943.001	-4957.019	-4981.439	-4995.3635
32	Argentina	0.146	-30.46	-249.8505	-331.757	-388.2415	-415.008	-442.7615	-466.555	-510.4775	-529.5155	-535.413	-523.5275	-522.9315	-510.9525	-501.17	-482.99	-479.8765
68	Bolivia (Plurinational State of)	-2.3315	-26.3275	-69.2285	-98.282	-121.2325	-139.5115	-152.9855	-173.2315	-183.3065	-194.7155	-212.876	-227.9385	-242.219	-257.823	-260.3635	-258.032	-268.979
76	Brazil	-39.2185	-1326.219	-2360.8755	-2455.061	-2403.6215	-2443.8695	-2515.3855	-2597.578	-2671.09	-2733.1225	-2730.5845	-2732.014	-2731.749	-2620.2755	-2517.8205	-2466.764	-2356.286
152	Chile	13.021	203.659	-245.7605	-437.835	-528.143	-626.524	-634.5715	-702.866	-702.724	-716.324	-712.2305	-657.137	-615.916	-587.982	-587.1345	-574.924	-557.8275
170	Colombia	113.565	620.3875	-776.5175	-1380.1735	-1826.9755	-2049.278	-2151.8735	-2222.067	-2228.536	-2258.0655	-2295.538	-2311.685	-2208.277	-2065.923	-1972.505	-1881.2135	-1912.282
218	Ecuador	-5.16	-123.7815	-143.3695	-154.314	-178.735	-193.4495	-201.296	-213.4745	-219.1815	-228.017	-232.989	-238.504	-238.799	-241.163	-249.3665	-253.029	-243.953
