country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	72.5969	74.0512	74.8064	75.5142	76.18	76.7823	77.3228	77.8367	78.3436	78.8396	79.3195	79.7754	80.2182	80.6547	81.0946	81.5296
1834	Sub-Saharan Africa	61.4809	63.0311	63.9655	64.8495	65.6959	66.5037	67.2827	68.0376	68.779	69.5004	70.2041	70.8822	71.5386	72.1764	72.8222	73.4679
1833	Northern Africa and Western Asia	73.292	74.8557	75.6728	76.4441	77.1831	77.8855	78.5573	79.2016	79.8188	80.4234	81.0157	81.5901	82.1569	82.7248	83.287	83.8325
1831	Central and Southern Asia	70.7173	72.8442	73.8735	74.8411	75.7712	76.6583	77.5011	78.3141	79.0919	79.8325	80.5401	81.2214	81.8843	82.5033	83.1043	83.6968
1832	Eastern and South-Eastern Asia	76.8473	77.9607	78.7961	79.5534	80.268	80.9348	81.5416	82.1252	82.7074	83.2752	83.8291	84.3528	84.8651	85.3969	85.9169	86.4199
1830	Latin America and the Caribbean	74.5596	76.5297	77.362	78.1706	78.959	79.722	80.4636	81.1831	81.8737	82.5382	83.1777	83.8005	84.3976	84.9738	85.5351	86.084
1835	Oceania (excluding Australia and New Zealand)	67.1815	68.354	68.9927	69.5817	70.1084	70.6036	71.0818	71.5684	72.057	72.5711	73.106	73.6464	74.1994	74.7803	75.3708	75.9487
1836	Australia/New Zealand	83.4339	84.3244	84.9771	85.5884	86.1794	86.7534	87.3142	87.8679	88.4341	88.9901	89.5143	90.0521	90.5772	91.096	91.6474	92.186
1829	Europe and Northern America	78.4759	80.0023	80.7812	81.5511	82.3023	83.0197	83.6935	84.3428	84.9888	85.6359	86.2754	86.8957	87.4849	88.0586	88.6209	89.1726
5502	Europe, Northern America, Australia, and New Zealand	78.5912	80.1071	80.887	81.6568	82.408	83.1259	83.801	84.4518	85.0992	85.7473	86.3868	87.0078	87.5978	88.1725	88.7375	89.2921
901	More developed regions	79.2152	80.6511	81.4049	82.1436	82.8651	83.5611	84.2231	84.8657	85.5019	86.1328	86.7531	87.3575	87.9375	88.5083	89.072	89.6239
