country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
901	More developed regions	-0.37	-0.593	-0.557	-0.017	-0.282	-0.193	-0.424	0.361	0.007	-0.19	0.096	0.379	0.808	0.717	0.538	0.856	1.027	0.46	1.04	1.174	0.582	1.785	1.484	1.441	1.026	0.752	0.918	0.818	0.779	0.951	1.43	0.71	0.448	0.673	0.618	0.986	1.149	1.111	1.525	1.395	2.212	2.175	1.109	2.125	2.854	1.879	2.04	1.765	1.045	2.003	2.343	2.429	3.945	3.072	2.918	2.776	2.535	3.287	2.947	2.529	2.62	2.603	2.421	2.601	2.685	3.576	3.615	3.606	3.625	3.589	1.693	2.048	1.658	2.805
902	Less developed regions	0.179	0.285	0.265	0.008	0.131	0.088	0.192	-0.161	-0.003	0.083	-0.041	-0.164	-0.345	-0.301	-0.223	-0.349	-0.411	-0.181	-0.404	-0.448	-0.219	-0.66	-0.54	-0.517	-0.362	-0.262	-0.314	-0.276	-0.259	-0.311	-0.461	-0.226	-0.14	-0.207	-0.187	-0.293	-0.336	-0.32	-0.433	-0.39	-0.609	-0.59	-0.296	-0.56	-0.741	-0.481	-0.515	-0.44	-0.257	-0.485	-0.56	-0.573	-0.92	-0.709	-0.666	-0.626	-0.566	-0.726	-0.644	-0.547	-0.561	-0.552	-0.507	-0.539	-0.551	-0.727	-0.729	-0.721	-0.718	-0.705	-0.329	-0.394	-0.316	-0.529
941	Least developed countries	-0.5	-0.571	-0.822	-1.352	-1.203	-1.206	-1.197	-1.252	-1.929	-0.978	-0.677	-0.457	-0.563	-0.574	-0.353	-0.217	-0.322	-0.092	-0.168	-0.789	-1.081	-0.137	-1.594	-0.267	-1.303	-1.726	-2.253	-3.252	-0.477	-2.646	-7.293	-5.357	-1.221	-0.727	-0.564	-1.349	-1.786	-1.908	-2.391	-1.978	-3.283	-1.487	1.44	1.476	0.838	-0.044	-1.149	-1.039	-1.178	-2.011	-3.519	-2.644	-1.275	-2.429	-3.052	-2.345	-2.892	-3.893	-2.435	-2.761	-2.68	-1.931	-2.042	-1.764	-1.908	-2.082	-1.414	-1.6	-1.412	-1.163	-0.762	-1.629	-1.843	-1.586
934	Less developed regions, excluding least developed countries	0.271	0.4	0.41	0.19	0.308	0.26	0.375	-0.018	0.25	0.222	0.042	-0.125	-0.316	-0.265	-0.205	-0.366	-0.423	-0.193	-0.435	-0.403	-0.104	-0.729	-0.4	-0.55	-0.236	-0.065	-0.054	0.125	-0.23	0.006	0.469	0.473	0.008	-0.135	-0.135	-0.147	-0.134	-0.097	-0.157	-0.165	-0.229	-0.462	-0.546	-0.856	-0.974	-0.546	-0.42	-0.349	-0.115	-0.249	-0.097	-0.246	-0.864	-0.431	-0.276	-0.343	-0.178	-0.193	-0.34	-0.167	-0.193	-0.31	-0.235	-0.32	-0.305	-0.478	-0.601	-0.555	-0.586	-0.616	-0.244	-0.148	-0.007	-0.312
948	Less developed regions, excluding China	0.264	0.418	0.379	-0.007	0.169	0.093	0.229	-0.307	-0.071	0.064	-0.1	-0.098	-0.319	-0.272	-0.336	-0.547	-0.597	-0.255	-0.721	-0.77	-0.396	-0.93	-0.721	-0.644	-0.463	-0.324	-0.456	-0.423	-0.398	-0.469	-0.666	-0.314	-0.187	-0.282	-0.251	-0.398	-0.437	-0.375	-0.491	-0.415	-0.817	-0.661	-0.391	-0.677	-0.818	-0.568	-0.647	-0.537	-0.357	-0.652	-0.746	-0.736	-1.047	-0.796	-0.701	-0.815	-0.581	-0.728	-0.686	-0.696	-0.704	-0.641	-0.665	-0.671	-0.647	-0.815	-0.922	-0.919	-0.89	-0.781	-0.402	-0.405	-0.344	-0.562
1636	Land-locked Developing Countries (LLDC)	0.877	0.714	0.432	0.002	-0.093	-0.147	-0.119	-0.161	-0.6	0.127	0.255	0.783	0.589	0.749	1.151	0.982	1.049	1.108	1.044	0.443	-0.103	-0.684	-1.372	-0.618	-0.612	-1.232	-0.696	-3.128	-2.196	-8.12	-9.985	-8.234	-2.292	-2.03	-0.78	-2.46	-2.295	-1.269	0.017	-0.676	-2.9	1.512	2.379	-2.701	-9.67	-1.978	0.59	-2.919	-3.431	-2.602	-5.623	-2.932	0.706	-0.697	-2.379	-1.327	-1.747	-4.129	-1.339	-1.601	-1.716	-0.857	-2.01	-2.068	-2.505	-2.953	-2.727	-2.7	-0.79	0.043	0.488	-1.332	-2.034	0.15
2087	LLDC: Africa	-0.574	-0.657	-0.866	-1.227	-1.195	-1.241	-1.265	-1.279	-1.679	-1.199	-1.268	-0.854	-1.31	-1.2	-0.568	-1.092	-0.851	-0.887	-0.913	-1.414	-1.701	-2.166	-3.55	-1.935	-1.662	-2.482	-2.644	-7.536	-4.894	-9.275	-6.99	3.549	1.624	-0.664	-1.142	-0.541	0.186	2.217	1.856	0.646	0.554	4.79	1.196	-6.776	-13.736	0.545	5.388	0.012	-0.887	-1.517	-2.343	-1.935	-1.015	-0.323	-0.621	-1.15	-0.755	-0.824	-0.516	-0.164	-0.117	-0.644	-1.37	-1.341	-3.04	-2.5	-2.374	-2.568	0.199	-0.336	-0.009	-0.781	-0.763	1.624
2088	LLDC: Asia	3.56	3.218	2.726	2.07	2.001	1.887	1.959	1.861	1.301	2.223	2.624	3.307	3.51	3.554	3.711	3.938	3.754	3.905	3.744	2.87	2.186	1.36	1.394	1.113	0.758	0.292	1.83	2.167	1.036	-7.776	-15.439	-25.291	-7.676	-3.825	0.111	-5.115	-5.773	-6.036	-2.235	-2.058	-7.826	-2.153	5.608	4.055	-4.384	-5.488	-6.063	-7.304	-7.36	-4.077	-11.18	-4.272	4.581	-0.582	-4.906	-0.865	-2.723	-9.595	-1.915	-3.411	-3.992	-0.47	-2.654	-2.936	-1.052	-3.566	-3.173	-2.761	-2.378	1.373	1.994	-2.36	-5.379	-2.754
2089	LLDC: Europe	0.34	0.234	0.351	0.474	-2.201	-1.988	-1.902	-1.956	-2.314	0.728	0.792	1.85	0.466	2.323	2.39	2.578	2.886	3.246	3.613	3.961	0.125	-0.396	-0.249	-0.081	0.074	0.214	0.346	0.443	0.516	-1.24	-0.649	-1.067	-3.295	-3.801	-4.178	-3.843	-3.53	-3.821	-2.884	-6.595	-7.096	-11.468	-11.813	-12.207	-8.187	-5.548	-5.276	-6.616	-6.696	-7.014	-7.418	-7.347	-7.831	-8.067	-8.989	-11.668	-13.592	-15.411	-16.621	-17.167	-17.719	-17.89	-18.203	-18.05	-16.722	-15.645	-14.577	-13.263	-12.016	-13.061	-11.508	-7.977	17.183	-4.933
2090	LLDC: Latin America	-5.159	-4.792	-4.453	-4.151	-3.936	-3.799	-3.639	-3.577	-3.525	-3.537	-3.572	-3.613	-3.465	-3.073	-2.996	-2.912	-2.83	-2.749	-2.67	-2.586	-2.507	-2.172	-1.762	-1.312	-1.223	-1.307	-1.388	-1.452	-1.491	-1.568	-1.653	-1.768	-1.872	-1.931	-2.104	-2.128	-2.141	-2.152	-2.17	-2.267	-2.382	-2.574	-2.657	-2.787	-2.838	-2.879	-2.908	-2.875	-2.85	-2.929	-3.124	-3.736	-4.174	-4.143	-3.995	-3.901	-3.905	-3.908	-3.757	-3.389	-2.435	-2.013	-1.794	-1.716	-1.653	-1.593	-1.538	-1.487	-1.439	-1.388	-0.7	-0.692	-0.823	-0.812
