country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
174	Comoros	37.3584	39.765	41.6017	43.8562	46.6909	49.3207	51.9234	54.3846	56.7928	58.4524	60.1019	61.7878	63.6753	65.2724	2023
262	Djibouti	41.446	42.8775	44.5193	46.6957	49.242	51.7388	53.2791	55.4726	55.249	56.4971	57.8554	59.6974	61.9576	63.8775	2023
232	Eritrea	34.2859	33.9311	38.5436	39.8812	40.453	42.9338	40.9809	45.2524	52.0627	51.8434	59.1725	62.2434	64.7846	66.6821	2023
231	Ethiopia	36.46	35.8983	40.6561	41.4173	40.6845	41.3214	39.7125	43.3929	47.2908	49.3398	52.567	57.1406	61.8342	65.0054	2023
404	Kenya	39.3229	45.5059	50.2576	52.9931	55.2374	57.8944	60.0743	60.2262	56.9073	55.6707	57.2167	59.7832	61.7855	62.7076	2023
450	Madagascar	40.424	42.2925	44.4198	46.6797	48.7214	49.8901	50.0577	51.2563	53.3854	56.4504	59.4249	61.7574	63.0974	63.3923	2023
454	Malawi	33.0859	34.1448	35.3089	35.928	38.0165	42.3691	44.7662	43.9796	43.3992	44.4416	49.0727	55.1921	60.2863	64.1225	2023
480	Mauritius	52.2384	56.1312	60.5335	62.442	64.1486	65.1171	68.0445	69.3881	70.2965	70.991	72.277	73.1018	74.3933	74.6458	2023
175	Mayotte	45.6823	51.0237	55.4162	60.0722	65.5403	69.4575	71.5709	72.7874	74.7495	76.0411	76.9393	77.7777	77.684	76.1206	2023
508	Mozambique	38.1055	40.025	41.4976	41.9397	42.8186	43.8549	40.7915	41.9052	45.549	47.9601	51.007	53.5452	56.8514	60.3806	2023
638	Réunion	50.7692	55.4897	59.5525	62.1692	64.578	67.8479	71.282	73.5385	75.0522	76.5272	77.4543	79.2193	81.4811	82.2216	2023
646	Rwanda	43.7381	45.7607	46.8597	47.7298	46.0125	46.0308	50.2528	50.5315	24.6974	44.3872	52.4339	60.0553	64.3993	66.3065	2023
690	Seychelles	58.7613	60.7339	61.4166	62.7591	65.868	68.2058	69.4139	70.1071	70.6728	71.3956	72.0559	72.3905	72.6993	72.6498	2023
706	Somalia	41.9327	43.0122	44.0716	45.1481	45.4306	46.9793	47.9654	46.7296	37.3166	50.5649	50.7673	50.9563	47.3913	55.1351	2023
728	South Sudan	31.1885	29.4596	29.1318	26.0184	33.0275	37.4515	35.4508	22.668	28.0299	31.755	51.0089	56.0111	52.8191	44.2921	2023
800	Uganda	40.8887	43.9266	47.0069	48.9734	47.0873	45.4488	43.5871	46.8133	47.5565	48.2755	52.0486	57.6202	61.951	65.4851	2023
834	United Republic of Tanzania	41.3954	42.1285	43.3809	45.3996	47.6732	50.1141	51.916	52.1227	51.386	51.69	55.4469	59.5142	62.5624	65.3098	2023
894	Zambia	47.6593	49.6079	51.2061	52.5682	54.5159	55.9792	53.7968	49.8838	46.7751	45.8171	49.0532	54.3533	59.06	62.0471	2023
716	Zimbabwe	50.3071	52.3526	54.6603	56.887	58.0566	56.4885	59.9713	60.2131	54.6556	47.8791	45.547	48.3494	55.9074	60.49	2023
911	Middle Africa	37.5405	39.335	40.1876	42.6148	44.5664	45.6113	46.8823	47.8528	49.102	49.7524	51.9594	53.8684	57.2417	59.3112	2023
24	Angola	36.1172	37.1089	37.1283	38.5421	40.5858	41.4164	42.359	41.7025	43.14	46.1086	49.1391	54.7291	59.3279	62.3591	2023
120	Cameroon	35.0852	38.1584	40.4283	45.9377	49.0904	50.1955	52.0345	54.0439	53.8457	53.1377	54.0625	55.8938	58.3958	60.9601	2023
140	Central African Republic	36.3002	38.4104	40.7917	43.6157	46.5029	48.701	49.9228	50.0213	48.9666	47.2252	47.158	34.9485	47.4637	44.714	2023
148	Chad	36.0946	38.4309	39.7206	40.5454	41.8921	42.8548	44.1566	45.2664	46.6986	47.7269	48.5044	49.358	50.8236	52.2396	2023
178	Congo	41.3933	45.4844	49.3184	52.2609	54.49	56.0342	57.1971	57.458	56.2151	53.1524	56.9532	60.4518	62.8054	63.9806	2023
180	Democratic Republic of the Congo	38.9731	40.2647	40.3846	42.4372	43.9409	44.9279	46.1247	47.5972	49.5237	50.0902	52.8024	55.1568	57.5755	59.6776	2023
226	Equatorial Guinea	40.6054	42.0007	43.3579	39.3384	39.3689	39.2059	50.0044	51.027	51.626	52.6566	54.9031	57.2396	59.6565	61.7335	2023
266	Gabon	41.0341	44.6321	47.9937	51.1634	54.0324	56.6611	58.7823	60.2514	61.0419	61.487	62.3735	63.8852	65.6686	66.9455	2023
678	Sao Tome and Principe	39.1162	40.7306	47.5338	54.2882	57.6744	58.8742	59.5136	59.6941	60.6466	60.4147	61.9202	63.2994	64.8529	67.3714	2023
912	Northern Africa	39.5281	42.553	45.5415	47.9854	50.2405	53.6613	57.5048	61.1645	63.4785	65.5531	66.9785	68.5232	69.9235	71.075	2023
12	Algeria	42.3191	40.7777	41.7216	42.8322	44.8776	50.3344	60.1204	66.4129	67.7114	69.3148	71.8171	73.5273	74.743	75.2451	2023
818	Egypt	36.9013	42.2208	46.0267	48.2639	50.0908	53.6073	57.5691	61.044	63.9218	66.4236	67.957	68.7364	69.6157	70.7116	2023
434	Libya	33.9325	37.7406	45.0088	53.0508	59.2069	63.5498	65.9956	68.4903	70.166	70.7141	70.931	71.9069	71.5152	72.5935	2023
504	Morocco	39.6564	41.7367	44.3404	47.3627	49.99	53.2369	57.2703	60.9254	63.6742	65.8709	67.8613	69.8839	71.9699	73.6753	2023
729	Sudan	46.7237	48.6378	50.4621	51.6214	52.8685	53.4804	51.8359	54.2787	56.1464	58.1119	58.2425	61.1657	63.5461	65.2388	2023
788	Tunisia	39.3336	42.1431	45.6852	50.7148	56.5753	61.6836	65.3922	68.2185	69.9575	71.999	73.3188	74.2063	74.7002	75.2772	2023
732	Western Sahara	36.9018	37.9482	39.9933	42.0934	42.4583	39.1817	45.3292	50.7324	59.2099	61.8543	64.261	66.5766	68.6176	70.1532	2023
913	Southern Africa	45.4936	50.2108	53.2329	54.7289	56.3495	58.6146	61.077	62.548	62.0859	59.2563	54.5607	55.1333	61.0825	64.7643	2023
72	Botswana	47.1245	49.6681	52.4639	54.9173	58.0477	61.2932	63.4071	62.1711	57.5591	53.4441	52.9405	56.9712	60.9317	65.716	2023
748	Eswatini	44.0193	45.5053	47.2406	49.7126	52.6089	56.2839	59.3254	61.7086	58.3503	50.9403	45.1036	45.6526	51.278	57.9545	2023
