country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	-739.903	-2117.862	-1950.997	-2048.4245	-2171.496	-2249.922	-2294.2805	-2325.938	-2448.093	-2543.9685	-2486.568	-2695.0185	-2611.9495	-2711.7755	-2766.5885	-2747.7415
1834	Sub-Saharan Africa	185.4475	-2111.5035	-11097.659	-12525.642	-13643.6425	-15276.3675	-16543.9515	-18395.665	-19060.7765	-20291.897	-22449.366	-23219.02	-24149.2175	-26105.764	-26433.238	-27366.3645	-28478.475
1833	Northern Africa and Western Asia	-151.645	1882.7735	-6138.5655	-8699.064	-9778.4345	-9828.9945	-10465.873	-10741.618	-11615.77	-12017.0225	-12572.1115	-13263.873	-13903.745	-14018.5605	-13749.315	-14826.294	-15336.2265
1831	Central and Southern Asia	-738.6715	-16430.691	-19571.5435	-19256.9375	-20590.502	-21535.2505	-22227.6645	-23210.5185	-24515.8895	-25956.2595	-26175.454	-26993.813	-28390.947	-29845.1995	-31184.481	-31144.1635	-32438.8155
1832	Eastern and South-Eastern Asia	-54.2805	-3161.9255	-6731.885	-7025.8445	-7398.7505	-7455.6055	-7583.3695	-7552.0855	-7417.6335	-7546.805	-7415.5455	-7296.748	-7220.781	-7209.6435	-6992.328	-6755.0205	-6927.3185
1830	Latin America and the Caribbean	-304.0095	-2641.7515	-4175.0695	-4437.6425	-4421.519	-4560.5235	-4668.4795	-4692.322	-4757.475	-4985.61	-5034.4455	-4866.9595	-4980.8915	-4738.332	-4746.3335	-4769.434	-4726.9755
1835	Oceania (excluding Australia and New Zealand)	-3.089	-97.53	-256.824	-337.5045	-388.1785	-445.085	-495.739	-523.656	-541.749	-554.6165	-570.352	-590.4745	-606.749	-621.622	-645.832	-648.0435	-652.5055
1836	Australia/New Zealand	43.2855	509.902	-147.173	-116.248	-143.0165	-124.7015	-157.1565	-180.4875	-133.909	-157.4595	-141.666	-183.3165	-121.677	-110.4305	-46.561	-110.15	-163.785
1829	Europe and Northern America	1022.9625	11666.995	8501.106	7516.354	6663.465	6524.76	6416.0495	5823.6975	5561.248	5452.4265	5321.4625	5046.9745	4957.6745	4754.978	4582.048	4275.0395	3890.6955
5502	Europe, Northern America, Australia, and New Zealand	1066.248	13076.1585	9555.1505	7471.0885	6574.6015	6129.1725	5806.4865	5190.061	5138.3615	4825.1075	4573.574	4335.986	3891.0675	3594.9605	4027.113	3777.2635	3824.1895
901	More developed regions	1087.2485	12874.359	9667.5015	8640.8035	7944.7205	7768.0325	7749.6705	7031.464	6756.243	6688.1775	6577.028	6250.5165	6070.3085	5871.4835	5665.002	5355.7885	4983.2185
902	Less developed regions	-1087.2485	-16450.77	-21362.3045	-21316.905	-21636.3945	-21948.8065	-22684.827	-22942.5445	-23013.2535	-23466.127	-23751.82	-23950.0375	-24269.0085	-24602.632	-24637.69	-25138.3505	-25095.319
941	Least developed countries	-412.9615	-11229.5525	-16021.705	-16758.5505	-18149.2465	-19634.692	-21393.242	-22681.165	-23176.805	-24446.0155	-25775.1895	-26565.494	-28406.7525	-29659.3665	-29768.898	-31858.3715	-32024.5455
934	Less developed regions, excluding least developed countries	-674.2875	-8517.783	-18969.9325	-19873.5765	-20721.3715	-20773.2225	-21644.6045	-22421.183	-23154.014	-23925.2765	-24850.5265	-26053.4945	-26587.3465	-26809.4215	-27869.196	-27541.981	-28658.8025
948	Less developed regions, excluding China	-1034.369	-14733.791	-21148.784	-21145.4755	-21587.54	-21790.5935	-22536.576	-22702.8155	-23051.7435	-23297.638	-23822.6525	-24021.2135	-24511.637	-24677.1645	-24827.909	-25340.435	-25222.447
1636	Land-locked Developing Countries (LLDC)	131.9295	-5314.64	-12632.855	-13365.274	-14843.212	-15812.0655	-17787.1605	-19227.456	-20317.619	-20905.394	-22896.215	-23213.8215	-25513.9305	-26834.7285	-28022.526	-28457.3845	-29880.8985
2087	LLDC: Africa	-1.65	-2307.1495	-9410.4755	-10314.679	-11181.481	-12124.99	-13141.0635	-14449.6275	-15576.607	-16718.28	-18014.3685	-18892.4975	-20081.1295	-21098.6405	-22772.414	-23376.2945	-24363.6665
2088	LLDC: Asia	168.455	-4665.592	-9383.6205	-9864.6835	-10977.2205	-11898.9065	-13334.59	-14399.2665	-15666.046	-16750.0295	-17337.385	-17647.731	-19006.77	-19899.296	-22063.932	-23092.443	-24230.247
2089	LLDC: Europe	-28.4315	-78.629	-206.981	-205.676	-199.0205	-191.812	-181.553	-170.099	-160.923	-149.598	-139.8875	-129.7455	-119.4745	-111.5365	-104.0185	-97.3245	-90.1975
2090	LLDC: Latin America	-6.4445	-86.633	-149.8975	-179.655	-198.261	-216.104	-226.4445	-237.923	-247.8495	-252.9865	-269.658	-280.555	-285.645	-285.846	-284.0885	-282.1285	-285.5325
1637	Small Island Developing States (SIDS)	-112.442	-742.7	-1404.2185	-1447.672	-1455.247	-1449.9365	-1430.3525	-1436.253	-1474.7505	-1528.759	-1550.5485	-1523.8025	-1584.6795	-1626.244	-1617.272	-1600.5955	-1658.709
2091	SIDS Caribbean	-37.956	-533.402	-835.616	-821.502	-764.7045	-702.804	-619.0385	-582.7965	-576.1265	-552.6015	-542.0235	-526.5095	-509.2595	-494.5505	-467.059	-453.301	-444.8705
2092	SIDS Pacific	-1.1835	-192.3495	-507.9045	-556.584	-609.106	-666.4165	-726.621	-742.9845	-776.0235	-805.0165	-819.877	-819.7745	-861.299	-867.779	-868.047	-884.195	-863.9645
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	-73.3025	-3.8945	-582.4945	-642.856	-651.5135	-642.7485	-661.8305	-661.3425	-702.669	-716.1165	-705.088	-713.5215	-746.5045	-743.156	-767.945	-709.1295	-783.9565
5503	High-and-upper-middle-income countries	1105.7935	20098.122	5270.3975	4508.885	3654.4945	3784.7925	3469.9005	2932.402	2470.746	1847.0225	1985.8705	1782.7855	814.8105	180.556	1097.193	719.452	769.5595
5504	Low-and-Lower-middle-income countries	-843.537	-24057.9295	-23259.8055	-23138.142	-24414.6755	-24679.192	-26068.55	-26812.6925	-27423.975	-28330.0525	-29334.2705	-29731.716	-30124.7565	-31007.5645	-32174.569	-33746.2725	-34748.309
1503	High-income countries	788.6145	20887.9545	8568.536	7133.19	6178.1335	5805.908	5300.2865	4967.532	4461.9065	4315.151	4174.4145	3890.553	3339.3095	3007.6695	2790.702	2275.919	1720.0915
1859	Low-and-middle-income countries	-526.358	-24456.5005	-22798.204	-21326.051	-21572.98	-21685.2855	-22345.004	-22723.3765	-23043.3125	-23069.274	-23375.6435	-23780.0205	-24020.4545	-24368.8655	-24989.795	-25877.3895	-26338.2735
1517	Middle-income countries	-708.538	-23418.488	-23663.1265	-22691.736	-23027.7305	-23336.285	-24236.392	-24795.0865	-25297.919	-26505.836	-27009.6775	-28066.9165	-29665.486	-30086.8645	-30891.6935	-30580.343	-31675.8065
1502	Upper-middle-income countries	317.179	-2836.593	-7834.2485	-7661.946	-7482.3605	-7258.3755	-7547.7925	-7712.4915	-8041.5585	-8138.9265	-8484.784	-8609.7385	-8641.234	-8577.557	-8777.428	-9066.5835	-9289.223
1501	Lower-middle-income countries	-1025.7165	-22002.9795	-20895.04	-20743.623	-21726.1255	-22656.7665	-22702.671	-23736.109	-24110.036	-25258.2395	-25667.642	-26413.388	-27854.4415	-28116.4715	-28611.2845	-29110.8635	-29781.0915
1500	Low-income countries	182.1795	-3495.4175	-11627.21	-13971.9815	-15564.371	-16934.5185	-19102.247	-20026.0835	-20958.3835	-22659.998	-24257.2815	-24953.892	-27639.1315	-27891.3655	-28560.896	-30642.0375	-31440.7555
1518	No income group available	-260.5025	-1230.2655	-1629.524	-1738.437	-1689.0415	-1727.2065	-1691.3735	-1754.102	-1754.659	-1710.1555	-1706.9985	-1757.9195	-1744.9175	-1692.0405	-1650.079	-1693.647	-1719.1545
903	Africa	124.16	-3895.5715	-12072.9285	-13973.5195	-15171.096	-16819.983	-17996.411	-19629.129	-20585.4115	-22301.193	-24083.978	-24751.616	-25905.7065	-27352.6415	-27833.9205	-29057.8925	-30055.245
910	Eastern Africa	13.4995	-3044.3585	-9427.608	-10555.1135	-11358.72	-12494.515	-14030.5725	-15229.883	-16079.0225	-17633.1205	-18972.2225	-19799.467	-20795.302	-22024.4305	-23088.704	-23372.4845	-24505.879
108	Burundi	-5.0945	-608.5745	-2137.9675	-2458.432	-2598.6875	-2846.5595	-3218.7865	-3452.5515	-3681.3335	-3849.485	-4078.288	-4326.588	-4519.5355	-4828.9785	-5035.7755	-5137.2245	-5315.4655
174	Comoros	-0.883	-13.1985	-30.7355	-37.4795	-41.784	-45.6395	-47.2565	-49.996	-55.4865	-57.881	-59.0185	-61.1385	-62.7795	-65.7265	-67.4115	-66.9955	-67.721
262	Djibouti	0.65	-53.16	-203.6345	-201.5275	-226.995	-242.294	-267.3825	-278.5185	-289.3595	-311.117	-330.504	-373.141	-382.7935	-393.21	-432.1405	-446.6075	-476.539
232	Eritrea	-7.4835	-238.6305	-615.3845	-675.8245	-728.4315	-797.309	-870.6385	-910.3605	-971.4625	-1066.409	-1121.4635	-1201.716	-1177.577	-1224.638	-1296.98	-1290.4545	-1352.151
231	Ethiopia	19.433	-1370.998	-5209.0265	-5704.2795	-6353.3855	-6802.1655	-7545.462	-8636.9855	-8898.6055	-9898.265	-10876.453	-11306.6095	-12169.2195	-12990.8125	-13443.3715	-14264.6285	-14828.4705
404	Kenya	-8.5555	-228.2735	-847.6155	-1091.465	-1240.1675	-1349.8925	-1447.517	-1552.5195	-1592.491	-1657.457	-1723.8415	-1821.6135	-1897.659	-1855.303	-1898.482	-1976.7325	-2085.463
450	Madagascar	-0.74	-21.496	-85.3145	-124.168	-158.428	-187.1085	-212.958	-247.504	-281.4445	-313.406	-338.0775	-363.641	-400.574	-422.9995	-442.7835	-479.0865	-492.278
454	Malawi	-1.3275	-349.303	-1457.7345	-1668.512	-1797.63	-2053.634	-2088.0195	-2313.097	-2456.6235	-2742.5955	-2927.722	-3108.9515	-3180.896	-3373.6495	-3622.141	-3675.2795	-3857.619
480	Mauritius	-2.9475	-21.5225	-31.416	-30.8995	-29.7065	-28.0445	-26.389	-24.7665	-23.9235	-22.2535	-21.0555	-20.041	-18.762	-17.2865	-16.345	-14.9165	-14.3015
175	Mayotte	0.613	-1.383	-23.12	-30.768	-34.3125	-38.0325	-43.9665	-48.0955	-51.644	-57.75	-60.1115	-69.1625	-74.807	-81.3385	-90.7015	-91.4745	-95.4845
508	Mozambique	-12.932	-810.096	-2986.539	-3203.283	-3673.523	-4168.782	-4557.9275	-5035.4745	-5335.871	-6006.954	-6265.0455	-6695.535	-6697.349	-7292.5875	-7510.807	-8068.7355	-7877.0875
638	Réunion	1.136	-20.441	-42.4765	-40.5485	-40.9255	-39.064	-40.799	-40.08	-39.68	-39.053	-38.709	-37.8285	-37.78	-38.741	-38.487	-38.625	-38.1165
