country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
458	Malaysia	51.3791	55.7817	60.3675	63.6686	66.1178	69.0814	71.4409	73.0278	74.1729	75.2162	76.4756	77.8235	78.1946	78.4725	2023
104	Myanmar	39.5833	44.0301	47.4569	51.0324	53.6288	55.6307	57.4511	58.96	60.5508	62.7174	64.1889	63.8353	67.4675	69.1007	2023
608	Philippines	56.351	59.6057	61.9351	63.3268	63.7241	64.5208	65.7354	67.0696	68.9173	70.5778	71.5971	71.9429	72.4029	73.0136	2023
702	Singapore	62.394	67.4297	70.2271	71.5197	72.763	74.3301	75.4542	76.8669	78.3367	79.673	81.987	83.7883	84.5895	85.5349	2023
764	Thailand	47.7749	50.7354	53.8185	57.2163	60.9267	64.4901	67.81	71.3072	73.2515	74.7413	75.9255	77.6922	79.9723	81.5651	2023
626	Timor-Leste	31.5574	33.0125	34.95	37.4887	38.4111	31.2518	40.4328	44.7373	48.0466	49.9306	61.6331	64.4166	66.341	68.0959	2023
704	Viet Nam	54.6179	59.3196	61.5083	60.7941	61.2887	68.6892	70.6391	72.3064	73.7205	76.0597	77.9137	78.2492	78.5543	79.0605	2023
922	Western Asia	48.3888	51.3207	54.6963	58.0228	61.2005	64.2637	66.8808	68.8085	70.768	72.0143	73.7064	75.2623	76.2652	77.3593	2023
51	Armenia	58.6047	60.9373	63.3254	65.3641	66.7303	68.0927	69.4489	66.8222	72.0442	73.3592	74.7492	76.0713	77.3228	78.2055	2023
31	Azerbaijan	51.0116	53.3863	56.4277	59.5243	61.8337	63.6786	64.9197	65.5623	65.9772	67.383	69.7672	72.0956	74.2422	75.5104	2023
48	Bahrain	42.4158	48.3399	56.4882	63.1375	68.3283	71.2923	72.8591	73.4469	73.9165	75.5208	77.0291	78.9154	80.8637	81.4779	2023
196	Cyprus	62.6849	66.3367	67.5885	70.3477	71.8209	74.3412	76.3052	78.184	79.0237	79.9353	81.3256	82.6797	83.7207	83.8811	2023
268	Georgia	63.3291	65.0438	66.783	68.5229	69.8465	71.4479	72.8531	72.8601	72.7636	73.8632	74.2379	75.5978	77.2884	78.3624	2023
368	Iraq	44.6824	51.7987	57.3775	61.8236	64.6005	66.7577	67.5117	65.9395	67.6059	67.2086	68.3361	69.563	71.2579	72.5945	2023
376	Israel	68.9591	69.2406	71.1917	73.1353	73.6547	75.0537	76.8786	78.7695	79.8261	80.7207	81.8679	83.1029	83.9757	84.6369	2023
400	Jordan	44.8924	50.4703	55.7618	60.3714	63.7714	66.4271	68.6575	70.9032	72.38	73.5685	74.7214	75.8377	76.7045	78.5655	2023
