country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
412	Kosovo (under UNSC res. 1244)	6.8947	6.4891	6.1979	5.867	5.4611	4.9138	4.4587	3.985	2.8773	2.5902	2.6832	2.406	1.9879	1.6327	2023
470	Malta	4.136	3.758	3.0506	2.1696	2.1047	2.1242	1.998	2.0147	1.9486	1.8297	1.4665	1.3898	1.3946	1.2243	2023
499	Montenegro	4.4929	3.8576	3.4081	2.9088	2.5601	2.2975	2.1873	2.0458	1.9823	1.908	1.8083	1.8369	1.7416	1.8093	2023
807	North Macedonia	4.7256	3.9808	3.6009	3.2602	2.8199	2.4997	2.2851	2.2894	2.2767	1.9271	1.6933	1.5801	1.7244	1.7367	2023
620	Portugal	3.121	3.1401	3.2183	3.159	2.8328	2.5489	2.0108	1.6285	1.5094	1.4734	1.4493	1.3748	1.2868	1.376	2023
674	San Marino	2.5946	2.3833	2.4137	2.3238	2.2249	1.7547	1.2814	1.1378	1.1517	1.2462	1.3574	1.3251	1.331	1.0775	2023
688	Serbia	2.6961	2.2774	2.087	2.0002	1.9542	1.9011	1.8378	1.7285	1.5559	1.3934	1.3632	1.3459	1.442	1.4887	2023
705	Slovenia	2.7511	2.3523	2.3005	2.311	2.1629	2.1841	1.8769	1.61	1.3563	1.2456	1.2248	1.4416	1.5807	1.6016	2023
724	Spain	2.4976	2.6982	2.8679	2.9217	2.8592	2.5598	1.8796	1.4802	1.2674	1.1549	1.2658	1.3778	1.3281	1.2696	2023
926	Western Europe	2.4095	2.4907	2.6445	2.4542	1.9584	1.6502	1.6176	1.5814	1.4986	1.5286	1.5789	1.6336	1.6568	1.6523	2023
40	Austria	2.1043	2.542	2.7745	2.5744	2.0198	1.6392	1.5999	1.4661	1.5009	1.3953	1.3671	1.391	1.4377	1.4895	2023
56	Belgium	2.34	2.4768	2.6237	2.3731	2.0166	1.7204	1.5992	1.5677	1.6188	1.6025	1.6724	1.8029	1.7596	1.6309	2023
250	France	2.767	2.7124	2.8103	2.6151	2.3163	1.8733	1.8686	1.807	1.718	1.767	1.8786	1.9668	1.9745	1.8487	2023
276	Germany	2.1574	2.272	2.4954	2.341	1.6885	1.4936	1.464	1.4432	1.318	1.3563	1.3428	1.3625	1.4189	1.5545	2023
438	Liechtenstein	2.7137	2.7455	2.8179	2.397	1.9682	1.8285	1.5845	1.4865	1.4669	1.5519	1.4671	1.4704	1.5128	1.4965	2023
442	Luxembourg	2.1002	2.1724	2.3277	2.1685	1.7032	1.4948	1.4694	1.4764	1.6637	1.7162	1.6327	1.5874	1.5093	1.3689	2023
492	Monaco	3.0233	2.8448	2.7055	2.5527	2.3967	2.2651	2.1591	2.0001	1.7549	1.9015	2.0075	2.2216	2.3153	2.4289	2023
528	Netherlands	3.0665	3.0931	3.1476	2.776	2.0675	1.6007	1.5084	1.5559	1.591	1.6074	1.7243	1.734	1.7046	1.598	2023
756	Switzerland	2.3104	2.395	2.5684	2.3388	1.8739	1.5403	1.5246	1.5382	1.5349	1.4854	1.3916	1.4458	1.5065	1.5035	2023
5505	Americas	4.5222	4.7555	4.6714	4.1327	3.6183	3.2474	3.0126	2.8258	2.6706	2.481	2.3056	2.176	2.0437	1.9024	2023
904	Latin America and the Caribbean	5.8183	5.8629	5.8141	5.4188	4.9122	4.4012	3.9142	3.4523	3.0776	2.7692	2.4674	2.2573	2.132	1.9804	2023
915	Caribbean	5.1545	5.2378	5.3655	4.9847	4.3396	3.5468	3.1762	3.0322	2.8134	2.6246	2.476	2.3329	2.274	2.1352	2023
660	Anguilla	6.8277	7.1854	6.7595	6.0186	4.7512	3.6294	3.0369	2.3316	1.9993	1.8681	1.7199	1.5325	1.5242	1.3573	2023
28	Antigua and Barbuda	4.9826	4.7523	4.5809	4.1502	3.2333	2.6896	2.1599	2.1773	2.0875	2.1074	1.9397	1.9028	1.6249	1.4721	2023
533	Aruba	5.5853	4.8641	4.1885	3.3884	2.7219	2.3543	2.1767	2.2671	2.2749	1.9945	1.798	1.855	1.8851	1.7612	2023
44	Bahamas	4.6597	4.9167	5.0039	4.5328	3.8013	3.1019	2.6737	2.5256	2.5613	2.2552	1.9937	1.9814	1.7305	1.4401	2023
52	Barbados	4.5157	4.346	4.3062	3.6804	2.9478	2.0582	1.8326	1.6794	1.7974	1.7113	1.8589	1.7449	1.7409	1.7196	2023
535	Bonaire, Sint Eustatius and Saba	5.5705	5.0495	4.6657	3.6745	2.9539	2.8052	2.6774	2.469	2.3866	2.1059	1.6205	1.6134	1.5036	1.5152	2023
92	British Virgin Islands	5.2717	5.1226	4.4603	3.799	3.5216	3.1247	2.1589	1.7313	1.7801	1.7849	1.382	1.2316	1.1256	0.9422	2023
136	Cayman Islands	4.5215	4.5367	4.602	3.961	3.5383	2.3808	1.9534	1.6534	1.6869	1.6615	1.6324	1.6493	1.4499	1.3096	2023
192	Cuba	3.9355	3.9481	4.4358	4.2568	3.4737	2.105	1.7401	1.8265	1.5893	1.5746	1.5891	1.5346	1.6884	1.5908	2023
531	Curaçao	5.0681	5.1737	4.8414	3.9353	2.9698	2.4444	2.2654	2.2826	2.4295	2.3671	2.2111	1.9276	2.0611	1.4166	2023
212	Dominica	5.5841	6.1307	6.1559	5.7101	4.4539	3.1261	3.1936	3.1514	3.1327	2.4824	2.1809	1.9965	1.7838	1.5669	2023
214	Dominican Republic	7.634	7.682	7.3672	6.656	5.7359	4.7609	4.0026	3.551	3.2732	2.9383	2.743	2.5529	2.503	2.4024	2023
308	Grenada	5.8322	6.7196	6.3471	5.0765	4.1887	3.5518	3.2639	3.4168	2.9737	2.6626	2.3562	2.1513	1.9211	1.5583	2023
312	Guadeloupe	5.6728	5.6626	5.7165	5.3036	4.293	2.8831	2.454	2.3034	2.1869	2.1608	2.2395	2.1938	2.1819	2.1095	2023
332	Haiti	6.259	6.2251	6.1881	6.042	5.8497	5.6783	5.5438	5.4861	5.1684	4.6308	4.1021	3.6697	3.2987	2.9684	2023
388	Jamaica	4.1779	5.0992	5.7494	5.6524	4.9786	3.9709	3.4463	3.0605	3.0017	2.6348	2.2668	1.9918	1.6404	1.436	2023
474	Martinique	5.4941	5.6757	5.5421	5.1174	3.975	2.507	2.1455	2.0639	1.9795	1.8902	1.908	2.0238	2.0076	1.9944	2023
500	Montserrat	4.9077	4.7727	4.5592	4.1574	3.3953	2.5515	2.4281	2.2643	2.2028	1.5783	1.4914	1.573	1.4671	1.7184	2023
630	Puerto Rico	4.9017	4.6747	4.3114	3.505	2.9923	2.8356	2.426	2.2684	2.2085	2.1175	1.8909	1.7102	1.5287	1.1345	2023
652	Saint Barthélemy	2.9934	2.8518	2.4981	2.1985	1.8404	1.3588	1.4545	1.429	1.3554	1.3668	1.4494	1.3352	1.0802	0.8144	2023
659	Saint Kitts and Nevis	6.6817	7.0347	6.3371	5.6025	4.1514	3.4808	3.1581	2.7383	2.4547	2.2649	2.0228	1.8564	1.7005	1.607	2023
662	Saint Lucia	6.3948	6.7778	6.9371	6.4861	5.8315	4.8969	4.2012	3.5922	3.1178	2.6092	2.0008	1.7419	1.514	1.4475	2023
