country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	1484.6105	3537.757	3178.5435	3255.8875	3130.294	3358.241	3462.551	3608.097	3561.3375	3847.4935	4034.444	4155.2545	4230.8725	4614.8935	5339.9715	6190.8135
1834	Sub-Saharan Africa	185.4475	3659.8535	10874.798	13212.474	14867.6865	16101.854	18128.3645	18987.441	21597.833	23028.187	24530.8655	26811.4935	28922.6625	31056.631	34681.552	36637.3105	39033.772
1833	Northern Africa and Western Asia	-151.645	5812.204	10469.0525	9917.3845	11235.549	11875.033	12649.5885	15119.334	15297.766	16693.621	16909.129	17262.143	19080.5005	20956.707	21119.673	22726.7325	24301.397
1831	Central and Southern Asia	-738.6715	-10205.8465	6447.127	11699.513	14390.7135	15667.8705	17887.4425	20972.6155	23475.3935	24953.7425	28312.9225	30616.566	33211.498	35885.1775	39487.2545	40332.499	41914.756
1832	Eastern and South-Eastern Asia	-54.2805	1425.7325	9090.7865	9601.5035	9834.7585	10063.8735	10628.802	10102.3995	10784.365	10796.0955	10821.006	10730.5925	10460.1215	11176.9605	10966.6725	11320.022	11670.4755
1830	Latin America and the Caribbean	-304.0095	-1585.888	1298.3195	2565.4695	3131.284	3884.3125	4474.791	4780.689	5098.553	5328.9445	5448.9945	6060.8645	6078.1585	6389.2365	6947.4295	7238.956	7574.69
1835	Oceania (excluding Australia and New Zealand)	-3.089	-21.326	223.6335	371.411	496.9655	628.162	782.916	880.101	1009.2315	1159.068	1313.025	1443.5155	1580.893	1763.235	1867.1465	2049.167	2154.779
1836	Australia/New Zealand	43.2855	1072.0365	2706.8625	2124.3185	2276.246	2407.77	2578.0205	2670.2575	2825.4055	2884.226	3056.142	3132.298	3169.512	3314.053	3495.654	3619.079	3564.405
1829	Europe and Northern America	1022.9625	16076.884	22423.843	22735.165	23344.5205	23625.662	24738.9525	24984.886	25437.623	26139.2205	27073.452	27676.875	28598.5295	29838.7585	29832.6175	31502.1315	32238.5535
5502	Europe, Northern America, Australia, and New Zealand	1066.248	17514.1895	23894.5875	23039.7955	23467.221	23575.3165	24395.0615	24842.66	25481.958	26153.6265	26845.9375	27579.606	28321.043	29569.6595	30098.303	31913.682	32706.3755
901	More developed regions	1087.2485	17415.8175	24309.2825	24527.086	25120.88	25538.5685	26483.545	26889.4315	27369.135	28310.645	29170.497	29848.99	30668.7685	32044.4605	32073.8775	33691.5265	34259.4555
902	Less developed regions	-1087.2485	-11728.788	-5938.895	-4949.0095	-3873.0515	-3617.295	-3242.5415	-2675.4255	-2222.149	-1860.345	-1526.201	-923.7865	-843.985	-228.743	205.667	769.622	1294.7705
941	Least developed countries	-412.9615	-4565.0935	9632.119	12372.6965	14282.8815	14875.7155	16386.5115	17832.7545	19674.533	20462.7865	22337.363	24922.5755	26744.1285	27943.8275	29297.3305	31616.3785	33831.428
934	Less developed regions, excluding least developed countries	-674.2875	-2188.134	5288.7105	7677.8695	9970.319	11455.477	13230.509	15545.236	17118.5925	19136.718	20035.608	22478.3245	23385.445	25282.4945	27100.979	31648.193	31671.131
948	Less developed regions, excluding China	-1034.369	-9641.7315	-3124.205	-1877.3255	-992.463	-1068.3795	-283.498	165.0815	352.9875	485.434	650.873	1026.4485	1442.419	2052.0295	2326.9175	2832.148	3290.2625
1636	Land-locked Developing Countries (LLDC)	131.9295	1020.0215	11894.519	15135.904	17250.904	19008.3515	19728.628	21506.2995	23390.142	25470.3285	27522.962	30463.5215	32091.0145	33646.7835	35643.7325	36322.6395	38254.0375
2087	LLDC: Africa	-1.65	2485.57	8451.339	10140.558	11239.4705	12713.759	13915.9905	15113.167	16004.029	17799.0425	18707.967	20022.3435	21704.9515	23521.655	23675.5845	24858.7785	26315.4135
2088	LLDC: Asia	168.455	463.4325	11326.8145	15204.674	17183.3345	19278.2175	20361.7215	23208.7895	24190.894	26986.555	30347.4805	32688.9505	36619.714	38652.695	40612.017	40158.9655	42582.285
2089	LLDC: Europe	-28.4315	-33.276	17.4385	68.6435	91.1065	114.2775	136.564	162.2855	176.826	178.784	186.9525	202	207.652	226.096	239.2365	260.9485	262.985
2090	LLDC: Latin America	-6.4445	-58.694	21.0105	69.1845	109.58	140.205	170.2045	210.5765	231.1015	259.2845	285.0245	301.8415	311.554	334.726	334.199	355.8055	371.514
1637	Small Island Developing States (SIDS)	-112.442	734.92	746.5665	990.493	1209.353	1356.8035	1582.439	1745.6185	1883.2905	2024.3885	2148.1925	2251.27	2525.211	2735.324	2815.5395	3062.509	3292.4255
2091	SIDS Caribbean	-37.956	-371.5465	-87.0135	-29.499	35.7715	114.0355	178.4525	216.006	237.4135	276.309	324.211	360.814	390.613	464.183	523.128	662.2415	775.5765
2092	SIDS Pacific	-1.1835	94.198	545.94	702.6715	821.412	946.21	1058.7485	1198.605	1279.6175	1417.521	1575.025	1654.11	1835.327	1925.752	2017.9975	2291.861	2396.917
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	-73.3025	1371.5005	1006.6225	1170.414	1269.628	1343.7495	1450.492	1539.282	1547.2605	1622.611	1683.6385	1719.531	1788.1565	1879.925	1911.028	2082.7615	2034.394
5503	High-and-upper-middle-income countries	1105.7935	26577.2245	28928.782	29604.228	32014.1925	32673.6775	34056.414	34954.6105	36049.2975	37347.87	38714.154	39711.999	40225.617	42324.7325	43593.4535	46493.753	48242.7615
5504	Low-and-Lower-middle-income countries	-843.537	-18167.258	-33.2875	2537.5075	3632.6605	4534.6025	5175.963	6229.8565	7217.86	7655.3345	8227.2425	8661.1795	9639.0655	10104.7385	9514.324	11148.5145	11960.066
1503	High-income countries	788.6145	25600.6995	25600.105	25400.363	26441.4775	26444.4915	26947.157	27987.699	28649.1845	29282.639	29718.664	30897.2385	31549.774	33091.582	33734.222	35644.8815	36478.3885
1859	Low-and-middle-income countries	-526.358	-19396.218	-4741.338	-1861.1695	-586.845	-53.108	649.6025	1707.268	2170.656	2330.4875	3278.7925	3420.4375	4022.1605	4796.4395	4333.8335	6103.215	6109.4815
1517	Middle-income countries	-708.538	-16897.075	1686.7885	6353.242	8609.3035	11182.4725	12514.751	15055.655	17043.807	18708.171	21669.448	23027.7695	26173.5745	28199.7755	29433.502	35564.68	36201.113
1502	Upper-middle-income countries	317.179	2044.799	8780.4385	10266.211	11804.34	12473.77	13278.063	13688.7565	14503.1405	15147.1435	15828.525	16416.505	17364.901	18192.8755	19192.5575	20379.045	21134.327
1501	Lower-middle-income countries	-1025.7165	-16744.025	941.903	4436.7285	6580.003	8072.538	9801.821	12058.996	14107.422	16172.798	18641.3425	20764.8315	23171.5015	25152.7545	26960.005	31982.488	34682.9865
1500	Low-income countries	182.1795	3028.551	14497.0275	15849.679	17314.184	18629.7785	19678.95	21240.734	22345.1625	24319.4885	26006.5095	28579.748	30114.466	30908.64	32057.05	32226.857	35155.544
1518	No income group available	-260.5025	-619.5945	1428.7935	2058.2735	2326.9945	2746.9365	2941.2905	3023.5245	3023.969	3258.095	3299.0755	3488.1185	3546.611	3844.2365	3983.1465	4590.53	4712.8645
903	Africa	124.16	1902.2705	10773.4125	12729.8825	14099.971	14984.1615	17543.828	18693.292	20932.312	22518.744	24372.2995	26156.966	27809.578	29692.252	33637.4635	35389.8495	39404.6395
910	Eastern Africa	13.4995	2256.9605	10603.5805	11820.5135	13438.73	14663.4115	16087.4775	17691.119	18654.098	20220.776	21240.9165	23300.3995	24789.0605	26579.102	27932.378	29186.638	30537.7015
108	Burundi	-5.0945	758.6215	2826.6255	3206.549	3684.6555	4084.4615	4305.7005	4747.9425	5164.1565	5671.691	6142.2705	6593.4295	6928.8815	7295.882	7951.7625	7727.343	8174.7135
174	Comoros	-0.883	-4.695	18.395	29.5395	39.424	51.3635	60.397	70.928	79.5165	87.6845	95.688	106.301	110.9015	120.6645	125.41	130.589	137.4845
262	Djibouti	0.65	81.096	397.325	459.856	533.6965	589.8	632.3655	713.9705	767.842	814.3575	916.6755	1111.876	1117.8465	1180.934	1303.7895	1463.436	1588.2735
232	Eritrea	-7.4835	174.524	850.9035	931.8495	1095.0145	1214.7005	1261.4125	1402.2565	1472.5525	1560.662	1715.849	1768.8385	1853.518	1954.077	2009.2925	2076.7435	2154.964
231	Ethiopia	19.433	2028.4465	7763.5195	8906.135	9890.2345	11094.672	12100.4715	13094.2675	14316.034	15417.0535	16611.9385	17623.2875	19279.262	19551.0795	20699.6325	22409.3985	23090.18
404	Kenya	-8.5555	53.8695	718.2705	970.2365	1182.6205	1349.769	1455.6015	1659.7825	1744.84	1834.441	1993.8595	1924.025	1790.4405	2016.333	2055.144	2037.403	2044.8765
450	Madagascar	-0.74	14.8775	116.001	180.186	237.794	293.79	344.6605	389.184	441.2885	506.7955	569.0805	606.6585	651.717	696.3165	752.841	810.378	826.986
454	Malawi	-1.3275	447.5535	2263.064	2663.2985	3067.203	3418.9335	3519.449	3956.9755	4368.039	4397.595	4963.862	5380.7615	5893.683	6145.4495	6228.2305	6923.083	7228.8135
480	Mauritius	-2.9475	-10.8125	18.3535	24.1415	25.569	25.6235	24.5745	23.5615	24.146	23.008	22.7625	21.622	20.5825	18.892	18.612	17.4615	16.517
175	Mayotte	0.613	9.918	36.414	50.343	65.479	81.208	105.477	119.64	129.1635	133.522	169.118	190.153	201.807	225.55	252.6085	311.4125	287.1275
