country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
450	Madagascar	65.5868	69.3296	71.6559	73.6254	75.2164	76.622	77.9594	79.184	80.2363	81.2889	82.2623	83.2377	84.0019	84.81	85.5278	86.2833
454	Malawi	70.3105	74.2561	76.3439	78.0023	79.4847	80.7378	81.9294	82.9392	83.935	84.7982	85.5974	86.413	87.2164	87.9972	88.7452	89.4639
480	Mauritius	78.0722	81.0257	82.6773	83.9942	85.1078	86.1691	87.1717	88.2105	89.1599	90.0378	90.9247	91.7991	92.73	93.6606	94.5634	95.3955
175	Mayotte	77.8801	81.2771	82.8853	84.2372	85.3622	86.4932	87.5488	88.4742	89.3649	90.2736	91.1887	92.086	92.9711	93.7891	94.6522	95.5303
508	Mozambique	66.1384	70.3639	72.5822	74.4486	76.0013	77.393	78.696	79.8404	80.8571	81.7397	82.6618	83.4909	84.3303	85.0731	85.9137	86.6978
638	Réunion	85.8013	88.5834	89.9627	91.1073	92.1668	93.1519	94.0428	94.9358	95.8583	96.7299	97.5791	98.4127	99.2528	99.9964	100.8183	101.5117
646	Rwanda	70.1951	73.873	76.2559	78.149	79.6783	81.1304	82.3813	83.4973	84.5002	85.4277	86.3264	87.1783	88.1575	88.9003	89.6627	90.4956
690	Seychelles	76.1523	79.4959	81.1643	82.5429	83.7326	84.7452	85.7634	86.7543	87.6451	88.4963	89.4023	90.2451	91.1187	91.9723	92.791	93.5683
706	Somalia	60.1148	65.2328	67.4781	69.3326	70.9443	72.486	73.8131	75.0028	76.026	77.1744	78.2408	79.2033	80.2674	81.2068	82.0483	82.878
728	South Sudan	60.9639	64.3683	66.347	68.0116	69.4929	70.8528	71.9777	73.1484	74.3409	75.2536	76.2722	77.2515	78.293	79.2643	80.0896	80.792
800	Uganda	71.0834	75.0341	77.3222	79.0961	80.6693	82.0307	83.2352	84.2841	85.3254	86.2861	87.2068	88.079	88.9819	89.815	90.644	91.5134
834	United Republic of Tanzania	70.217	73.5918	75.8396	77.7152	79.2589	80.6382	81.9084	83.0169	84.0055	84.9009	85.865	86.7025	87.6086	88.4713	89.2818	90.0923
894	Zambia	68.1012	72.4982	74.7809	76.5904	78.1663	79.5765	80.7372	81.8752	82.8479	83.7533	84.6443	85.6913	86.5229	87.2894	88.0805	88.8853
716	Zimbabwe	64.9111	69.3282	72.032	74.2184	76.117	77.676	79.0736	80.3575	81.5787	82.7256	83.7352	84.7031	85.6344	86.4791	87.376	88.3382
911	Middle Africa	63.4936	66.8518	68.6264	70.0732	71.4187	72.5601	73.597	74.6217	75.6207	76.4879	77.3256	78.2502	78.9939	79.8565	80.7691	81.5228
24	Angola	67.2157	71.0037	73.2663	74.9848	76.5063	77.7991	78.9954	80.0914	81.1264	82.1169	82.9985	83.8375	84.599	85.412	86.1982	86.9467
120	Cameroon	65.6417	70.364	73.1069	75.2898	77.1073	78.7839	80.2762	81.5258	82.6708	83.7078	84.676	85.6031	86.4542	87.3139	88.1723	88.9782
140	Central African Republic	50.2857	63.8612	66.7658	69.0844	71.266	73.2081	74.9727	76.4104	77.763	78.9358	80.0239	81.117	82.1769	83.1194	84.0089	84.8193
148	Chad	57.0298	61.179	63.4792	65.4288	67.0914	68.5269	69.9808	71.3969	72.6292	73.7674	74.8084	75.7878	76.8469	77.7673	78.7164	79.5612
178	Congo	67.4636	71.5479	73.9709	75.9403	77.539	78.9149	80.1731	81.3116	82.3595	83.3774	84.3018	85.1073	85.9316	86.7529	87.6333	88.4781
180	Democratic Republic of the Congo	63.9763	67.949	70.1715	72.0451	73.7351	75.236	76.6213	77.8502	78.9032	79.8275	80.776	81.6773	82.4908	83.3673	84.091	84.9322
226	Equatorial Guinea	65.8248	69.7321	72.2052	74.222	76.0145	77.6871	79.0649	80.3236	81.4725	82.4161	83.3439	84.2762	85.2323	86.1143	87.0056	87.7509
266	Gabon	71.0697	74.7051	76.7502	78.4482	79.8451	81.0844	82.2774	83.3059	84.2732	85.229	86.1369	86.9716	87.8522	88.7338	89.5293	90.3225
678	Sao Tome and Principe	73.6622	77.0915	78.993	80.545	81.7934	82.9079	83.9344	84.8812	85.7392	86.5665	87.4591	88.3874	89.2114	90.065	90.8652	91.6498
912	Northern Africa	73.9297	76.7241	78.2288	79.4041	80.4328	81.4314	82.3326	83.1598	83.9183	84.6811	85.3023	85.8592	86.6658	87.3254	88.0069	88.7806
12	Algeria	77.684	80.7896	82.5193	83.9313	85.183	86.2372	87.3506	88.3933	89.2971	90.191	91.1084	91.9748	92.8423	93.7535	94.6114	95.4376
818	Egypt	73.4594	77.2136	79.0558	80.5367	81.8081	82.9934	84.0002	85.0018	85.9534	86.8726	87.8018	88.6467	89.531	90.3673	91.2099	92.0492
434	Libya	74.6752	80.2902	82.0862	83.3831	84.5007	85.5703	86.637	87.58	88.5123	89.4089	90.2789	91.0877	91.9124	92.786	93.6023	94.4289
504	Morocco	77.4516	80.6093	82.2833	83.5561	84.6901	85.6855	86.6754	87.6351	88.5004	89.3474	90.1873	91.0579	91.8251	92.6602	93.4328	94.163
729	Sudan	69.4014	73.3357	75.4381	77.1532	78.5628	79.8757	81.1243	82.1775	83.2077	84.1108	85.01	85.8271	86.7358	87.5323	88.3148	89.2352
788	Tunisia	78.6882	81.9924	83.6605	84.9898	86.1604	87.2076	88.1651	89.1889	90.1483	91.0534	91.8961	92.7752	93.6423	94.5259	95.3217	96.1311
732	Western Sahara	73.8143	77.0657	79.0517	80.619	81.8339	82.9971	84.0487	84.9656	85.8997	86.8274	87.6936	88.4548	89.2234	90.0005	90.7353	91.5016
913	Southern Africa	68.6018	72.6943	74.6609	76.218	77.4493	78.5381	79.7847	80.8178	81.7289	82.6797	83.65	84.3606	85.1351	85.9147	86.553	87.3339
72	Botswana	70.7998	75.127	76.9772	78.4809	79.7766	80.9148	81.9989	82.9646	83.926	84.8131	85.6839	86.5544	87.4142	88.225	88.98	89.7722
748	Eswatini	65.7918	70.5457	72.643	74.2674	75.7176	77.0559	78.2198	79.2886	80.2551	81.1227	82.0811	82.9241	83.7089	84.5367	85.3859	86.1188
426	Lesotho	59.7594	65.2549	68.7855	71.7007	74.2077	76.3255	78.1367	79.7769	81.1585	82.3157	83.4817	84.586	85.5235	86.502	87.4009	88.3179
516	Namibia	69.624	74.7391	76.6134	78.0851	79.4215	80.5661	81.6355	82.5994	83.4869	84.3064	85.1465	86.0095	86.7384	87.5483	88.3212	89.0943
710	South Africa	68.9345	73.2261	75.3145	76.9269	78.3324	79.5245	80.699	81.7762	82.7399	83.6466	84.5759	85.4871	86.2567	87.084	87.8324	88.6609
914	Western Africa	59.137	62.1093	63.978	65.4402	66.8494	68.1826	69.3355	70.334	71.3725	72.393	73.3174	74.3177	75.1554	75.8476	76.6797	77.3962
204	Benin	62.4232	66.2806	68.6235	70.4638	72.1178	73.6668	74.9331	76.1821	77.3182	78.3298	79.371	80.3822	81.3291	82.1261	82.8364	83.5646
854	Burkina Faso	63.3572	67.1839	69.4855	71.4104	73.0519	74.5236	75.93	77.1608	78.2997	79.246	80.3238	81.2597	82.1619	82.9255	83.6591	84.3855
132	Cabo Verde	79.2157	81.9685	83.5839	84.8918	86.0917	87.1906	88.2366	89.1914	90.1047	91.0142	91.8997	92.7792	93.6882	94.5341	95.3939	96.1894
384	Côte d'Ivoire	64.1478	67.9934	70.1707	72.0098	73.5614	75.0372	76.3286	77.4952	78.5944	79.6895	80.619	81.544	82.363	83.1637	83.9483	84.5932
270	Gambia	67.392	71.4663	73.7657	75.645	77.2514	78.6208	79.8529	80.9354	81.9448	82.8737	83.8442	84.7385	85.5308	86.3177	87.152	87.9118
288	Ghana	68.0739	71.8741	74.1955	76.0554	77.6373	79.0639	80.3706	81.529	82.5713	83.6026	84.5147	85.3815	86.2957	87.0914	87.8599	88.6615
324	Guinea	62.0763	65.8908	68.1294	69.9922	71.6798	73.1071	74.5624	75.7008	76.8169	77.9009	78.9135	79.9489	80.8335	81.7047	82.5725	83.4138
624	Guinea-Bissau	66.1175	70.1571	72.325	74.1074	75.669	77.012	78.341	79.4428	80.4665	81.3686	82.2794	83.2659	84.0477	84.8684	85.6101	86.439
430	Liberia	63.753	67.3011	69.4854	71.2303	72.8929	74.2833	75.5269	76.6964	77.8579	78.9645	80.0401	80.904	81.7108	82.6152	83.3805	84.2351
466	Mali	62.0419	66.0654	68.59	70.6627	72.521	74.0404	75.4108	76.7651	77.9697	79.0113	79.9757	80.9445	81.7573	82.5942	83.3319	84.0995
478	Mauritania	70.5414	74.3617	76.5316	78.2169	79.7387	80.9882	82.1517	83.2233	84.2344	85.2343	86.1572	87.0218	87.9117	88.7606	89.5924	90.4522
562	Niger	62.2237	66.3915	68.8896	70.9318	72.714	74.2425	75.574	76.8934	78.1093	79.1665	80.1337	81.1447	82.0997	82.945	83.8242	84.5301
566	Nigeria	55.0308	59.102	61.6344	63.5717	65.3684	67.0335	68.5002	69.8976	71.1948	72.468	73.6914	74.8098	75.8731	76.8657	77.8878	78.8307
654	Saint Helena	81.0038	83.0954	84.5187	85.6485	86.6867	87.6958	88.6055	89.5745	90.5287	91.4853	92.3417	93.212	94.0111	94.7918	95.6192	96.4759
686	Senegal	70.7301	74.6443	76.9056	78.6341	80.1031	81.4516	82.5573	83.595	84.5632	85.4555	86.3635	87.1418	87.9675	88.7584	89.5199	90.3507
694	Sierra Leone	63.4644	67.4344	69.6504	71.5233	73.1812	74.6211	75.8641	77.1219	78.2911	79.2793	80.276	81.1311	81.9509	82.7806	83.6145	84.3749
768	Togo	63.0824	67.1721	69.7449	71.9771	74.011	75.7095	77.2492	78.4842	79.6948	80.7582	81.8154	82.8026	83.663	84.5924	85.4903	86.1606
935	Asia	76.9057	79.2786	80.5858	81.6072	82.5146	83.2301	84.0235	84.7609	85.3586	85.9993	86.5505	87.2078	87.8414	88.4312	89.0144	89.5363
5500	Central Asia	75.5498	77.9029	79.1042	80.0899	80.8931	81.811	82.593	83.3717	84.1916	84.9631	85.7249	86.3905	87.0852	87.8603	88.5931	89.2694
398	Kazakhstan	77.5717	81.1308	82.648	83.8613	84.9399	85.9441	86.964	87.8716	88.716	89.659	90.6309	91.505	92.3255	93.1571	93.9821	94.8143
417	Kyrgyzstan	75.0741	78.3362	80.0101	81.447	82.6495	83.7187	84.7323	85.683	86.6501	87.5518	88.4605	89.3007	90.1802	91.0375	91.91	92.7897
762	Tajikistan	73.7596	77.2248	79.0041	80.4159	81.7079	82.7918	83.7991	84.7631	85.6147	86.5375	87.4402	88.2543	89.0499	89.8414	90.6551	91.4152
795	Turkmenistan	73.1266	76.186	78.0357	79.4562	80.7302	81.9471	83.0336	83.9914	84.9189	85.8491	86.8014	87.6796	88.4781	89.276	90.0912	90.9343
860	Uzbekistan	75.6003	78.5025	80.184	81.4752	82.6714	83.6981	84.6872	85.648	86.6142	87.4564	88.3447	89.1709	90.0527	90.9412	91.8165	92.5798
906	Eastern Asia	82.3696	84.6376	85.8835	87.0304	88.0926	89.1723	90.2125	91.1752	91.9772	92.812	93.715	94.549	95.224	96.1406	97.0312	97.7255
156	China	81.4289	84.0744	85.5486	86.7938	87.9792	89.0307	90.0359	91.0503	91.9964	92.857	93.8472	94.7088	95.4893	96.3943	97.1844	98.0068
344	China, Hong Kong SAR	87.7083	90.4746	91.8717	93.0913	94.2579	95.245	96.2518	97.1811	98.1292	99.0678	99.9774	100.8059	101.5724	102.3847	103.1925	104.0469
