country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
900	World	17.383	17.474	19.344	19.001	19.928	20.112	19.775	20.731	19.966	17.288	15.84	16.651	21.124	22.83	21.587	20.879	20.385	19.966	20.929	20.558	20.563	19.724	19.71	19.381	18.825	18.033	17.763	17.454	17.438	17.864	18.009	18.161	18.546	17.831	17.97	17.992	18.285	18.355	17.854	17.781	17.581	16.277	15.676	15.166	14.661	14.489	14.192	13.933	13.651	13.447	13.533	13.262	13.04	12.869	12.826	12.719	12.768	12.805	12.823	12.815	12.687	12.557	12.673	12.332	12.155	11.784	11.655	11.252	10.678	10.272	9.024	8.011	8.751	8.708
5536	Group A – already peaked (before 2024)	15.296	15.093	18.112	16.82	18.014	18.115	16.947	18.801	16.763	10.228	6.587	8.279	18.642	22.713	19.736	19.256	18.068	17.114	19.304	18.37	18.493	17.32	16.53	15.766	14.51	12.775	11.921	10.909	10.663	11.02	11.058	11.343	12.238	10.575	10.96	11.292	12.193	12.717	11.794	11.805	11.763	8.787	7.68	6.79	6.233	5.811	5.482	5.132	4.766	4.343	4.579	4.003	3.767	3.573	3.694	3.592	3.777	3.982	4.158	4.289	4.114	3.982	4.56	3.987	4.094	3.356	3.604	3.192	1.753	1.196	-0.648000000000002	-1.756	-2.23	-2.577
1834	Sub-Saharan Africa	19.99	20.559	21.032	21.518	21.939	22.347	22.752	22.509	22.878	23.845	24.057	24.329	24.767	24.973	25.251	25.429	25.513	25.784	26.19	26.388	26.745	27.097	27.071	27.547	27.726	28.011	28.529	28.801	28.962	29.231	29.343	29.355	29.415	28.761	28.597	28.611	28.505	28.757	28.224	28.477	28.078	27.642	27.327	27.447	25.758	27.492	27.3	27.146	26.76	27.201	27.469	27.519	27.543	27.685	27.912	28.134	28.257	28.329	28.515	28.155	28.396	28.081	28.088	27.817	27.446	27.052	26.66	26.306	26.143	25.774	25.337	24.825	24.892	24.993
5537	Group A: Sub-Saharan Africa	27.52	27.685	26.71	25.56	25.539	26.322	26.882	27.263	27.736	28.366	29.233	29.594	28.365	29.716	28.455	26.125	25.993	21.144	21.462	18.3	18.138	16.731	16.73	15.436	18.636	17.493	17.511	17.915	18.086	17.997	17.595	16.979	16.341	15.437	14.169	12.629	11.686	12.215	12.983	13.748	14.364	14.151	14.475	13.815	12.982	11.931	11.476	10.629	9.574	10.628	10.159	9.341	9.262	8.711	8.521	7.917	6.885	6.361	5.711	4.973	4.768	4.676	4.545	3.847	3.322	2.706	2.78	2.971	2.212	1.727	2.087	0.190000000000001	-0.128	0.494999999999999
1833	Northern Africa and Western Asia	22.962	23.711	24.462	24.957	25.132	25.291	25.666	25.433	25.668	26.188	26.397	26.991	27.376	27.594	27.521	27.349	27.293	27.143	27.091	27.103	27.192	27.326	27.312	27.13	27.113	27.131	27.018	27.315	27.492	27.77	27.868	27.866	27.691	27.634	27.365	27.167	26.927	26.474	25.894	25.428	24.793	24.373	23.919	23.366	22.88	22.277	21.707	21.395	21.118	20.742	20.401	20.058	19.682	19.472	19.392	19.412	19.571	19.709	19.752	19.831	19.849	19.724	19.862	19.745	19.655	19.248	18.651	18.322	17.553	16.958	15.736	14.902	15.381	15.368
5538	Group A: Northern Africa and Western Asia	11.563	12.025	12.496	13.138	13.849	14.687	15.783	16.673	17.377	18.013	18.435	18.204	17.509	16.693	15.347	13.815	12.784	12.268	11.632	11.334	11.155	11.117	10.998	10.826	10.795	11.09	11.247	11.496	11.908	12.436	12.708	13.152	13.474	13.795	13.802	13.882	13.561	12.814	9.303	11.748	11.718	10.33	8.648	6.386	5.268	4.994	5.031	3.715	3.205	2.342	2.125	1.954	1.854	2.196	1.989	2.207	2.324	2.649	3.402	4.137	3.874	3.725	3.756	3.991	4.274	3.945	3.508	2.646	2.487	1.956	-0.868	-1.765	0.402000000000001	0.856
1831	Central and Southern Asia	20.757	21.205	21.782	22.221	22.935	23.276	23.517	23.725	23.848	24.043	24.271	24.355	24.459	24.476	24.529	23.545	23.554	23.535	24.179	24.082	23.684	22.05	24.283	24.354	24.43	24.307	24.537	24.373	24.392	24.684	25.006	25.062	25.066	25.056	25.071	24.852	24.877	24.396	24.056	23.709	23.217	22.699	22.301	21.79	21.403	20.97	20.534	20.209	19.928	19.73	19.66	19.457	19.029	18.537	18.069	17.513	17.168	16.844	16.65	16.481	16.129	15.809	15.511	15.129	14.48	14.34	14.146	13.554	13.43	12.972	11.875	10.266	12.273	12.048
5540	Group A: Eastern and South-Eastern Asia	17.541	17.402	22.086	19.931	21.632	21.648	19.708	22.671	19.25	8.972	3.306	6.204	23.263	29.833	25.304	25.029	23.303	21.842	25.499	24.268	24.462	22.6	21.429	20.419	18.358	15.953	14.712	13.335	13.13	13.771	13.943	14.424	15.589	13.184	13.855	14.446	15.524	16.295	15.159	15.41	15.635	11.762	10.589	9.87	9.304	8.835	8.309	7.764	7.277	6.88	7.196	6.414	6.11	5.835	5.831	5.735	5.798	5.915	5.98	6.086	5.881	5.647	6.398	5.643	5.759	4.865	5.141	4.767	2.999	2.368	0.513000000000001	-0.598	-1.564	-2.235
1832	Eastern and South-Eastern Asia	17.618	17.559	22.073	20.523	22.272	22.388	20.91	23.565	20.857	12.58	8.141	10.351	24.168	29.41	25.754	25.029	23.92	22.836	25.62	24.648	24.728	23.194	22.16	21.339	19.504	17.344	16.312	15.211	15.117	15.911	16.051	16.408	17.347	15.46	15.938	16.229	16.881	17.374	16.443	16.579	16.674	13.658	12.633	12.03	11.503	11.007	10.504	9.974	9.459	9.025	9.201	8.568	8.273	8.039	7.895	7.863	7.897	7.99	7.942	8.054	7.867	7.718	8.236	7.563	7.568	6.82	6.861	6.429	4.951	4.384	2.787	1.547	1.221	0.688000000000001
5541	Group A: Latin America and the Caribbean	20.59	20.393	20.464	20.85	21.232	21.51	21.769	21.885	22.155	22.57	23.209	23.484	24.032	24.278	24.072	23.808	22.892	22.181	21.408	20.899	20.218	19.705	18.794	18.015	17.129	15.816	14.606	13.375	12.038	11.403	10.806	10.627	11.618	11.705	11.461	11.371	11.496	11.511	11.716	11.557	11.4	10.52	9.804	9.174	8.802	8.486	8.082	8.403	7.944	7.63	7.041	6.64	6.508	6.179	5.496	5.031	4.323	4.076	4.167	4.197	4.039	3.989	3.616	3.388	2.862	2.623	1.758	0.918000000000001	0.679	0.106999999999999	-0.52	-4.028	-1.3	-0.965999999999999
