country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.1777	76.1731	76.7182	77.2327	77.7623	78.2138	78.614	79.0425	79.4628	79.809	80.2012	80.583	80.9101	81.2624	81.6001	81.9872
1834	Sub-Saharan Africa	63.3944	64.486	65.2045	65.922	66.6868	67.4069	68.0602	68.7492	69.4769	70.152	70.7366	71.3566	71.8975	72.5564	73.1304	73.6471
1833	Northern Africa and Western Asia	75.6086	76.6637	77.2109	77.7707	78.3044	78.8527	79.3207	79.8304	80.2852	80.7716	81.266	81.6367	82.0611	82.4944	82.9274	83.3291
1831	Central and Southern Asia	72.4164	73.4939	74.0765	74.7621	75.4418	76.0822	76.8792	77.5167	78.095	78.622	79.1542	79.6237	80.1507	80.764	81.2771	81.7469
1832	Eastern and South-Eastern Asia	79.648	79.9091	80.2641	80.6453	81.1107	81.5162	81.9674	82.4324	82.8128	83.227	83.6401	84.0643	84.4684	84.8796	85.374	85.8208
1830	Latin America and the Caribbean	77.5637	78.7639	79.2541	79.8011	80.3241	80.8302	81.3517	81.8587	82.3847	82.8864	83.4238	83.9293	84.3916	84.8629	85.3604	85.8151
1835	Oceania (excluding Australia and New Zealand)	69.8128	69.7195	69.725	69.8184	69.9143	69.9873	70.0036	70.1119	70.4552	70.7268	70.8886	71.1445	71.3726	71.7668	72.1389	72.6686
1836	Australia/New Zealand	85.0843	84.9398	85.0474	85.2804	85.5689	85.8628	86.2352	86.6347	87.0389	87.3777	87.6863	88.0734	88.3889	88.7533	89.2166	89.5325
1829	Europe and Northern America	81.5406	82.4798	82.9	83.3637	83.8485	84.3705	84.8386	85.3022	85.747	86.2434	86.7246	87.2465	87.7186	88.2113	88.6695	89.1242
5502	Europe, Northern America, Australia, and New Zealand	81.6203	82.5497	82.9602	83.4203	83.8919	84.4294	84.9074	85.3738	85.8477	86.3724	86.8825	87.3734	87.8432	88.3514	88.8225	89.2848
901	More developed regions	82.2702	83.1728	83.6026	84.0567	84.5185	85.016	85.5029	85.9871	86.4678	86.9525	87.4169	87.9091	88.388	88.8969	89.3908	89.8339
902	Less developed regions	73.581	74.6132	75.2263	75.814	76.4103	76.919	77.4064	77.8561	78.307	78.6854	79.0676	79.4399	79.7897	80.1263	80.4604	80.8303
941	Least developed countries	67.8912	69.1365	69.9183	70.6512	71.3476	72.0397	72.6898	73.3082	73.8849	74.4631	75.0145	75.5119	75.9581	76.3416	76.7778	77.1893
934	Less developed regions, excluding least developed countries	74.7699	75.6617	76.2188	76.7555	77.2852	77.7872	78.2405	78.6759	79.1011	79.4865	79.9008	80.2661	80.6093	80.9883	81.3769	81.7682
948	Less developed regions, excluding China	71.6146	72.8784	73.539	74.1981	74.845	75.4326	76.0409	76.5132	77.018	77.4662	77.9378	78.3892	78.7963	79.1495	79.5718	80.0179
1636	Land-locked Developing Countries (LLDC)	68.3664	69.6588	70.3744	71.0927	71.7847	72.4219	73.0126	73.541	74.1124	74.6914	75.2438	75.7312	76.2323	76.7573	77.2384	77.6907
2087	LLDC: Africa	66.101	67.3467	68.0652	68.751	69.4361	70.12	70.8073	71.3927	72.0079	72.702	73.3316	73.8881	74.4623	75.0352	75.5154	76.0197
2088	LLDC: Asia	72.4284	73.3078	73.8579	74.459	75.0251	75.5764	75.9963	76.4385	76.9447	77.3634	77.8329	78.2534	78.6784	79.1168	79.6418	80.1165
2089	LLDC: Europe	76.119	76.3584	76.5187	76.7987	77.1339	77.6124	77.9286	78.3749	78.7286	79.1521	79.6085	80.0345	80.4541	80.9818	81.4292	81.7357
2090	LLDC: Latin America	71.3478	72.5358	72.7308	73.0199	73.4234	73.9499	74.3864	74.8476	75.3897	75.7189	76.1543	76.6721	77.1421	77.6647	78.074	78.4933
1637	Small Island Developing States (SIDS)	75.0799	75.8356	76.1924	76.5431	76.8345	77.1021	77.3262	77.5516	77.8449	78.1188	78.36	78.6167	78.8306	79.0132	79.249	79.5493
2091	SIDS Caribbean	75.5394	76.1778	76.4456	76.7703	77.0235	77.2702	77.4946	77.6012	77.8604	78.1408	78.4527	78.7258	78.9782	79.2918	79.5847	79.9544
2092	SIDS Pacific	69.6961	69.6935	69.8089	69.9924	70.1993	70.3766	70.5422	70.7809	71.1224	71.4357	71.675	71.9379	72.1631	72.613	73.0898	73.5924
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	78.3034	78.7851	79.0761	79.2707	79.4352	79.5256	79.8431	80.2029	80.4477	80.5625	80.6493	80.5129	80.5667	80.5587	80.7154	80.8327
5503	High-and-upper-middle-income countries	80.2635	81.042	81.471	81.9083	82.3867	82.8613	83.3228	83.8073	84.305	84.7862	85.2754	85.7637	86.2827	86.8114	87.3157	87.8426
5504	Low-and-Lower-middle-income countries	69.8734	71.052	71.6687	72.3615	73.021	73.6159	74.2272	74.7531	75.3045	75.8017	76.3002	76.7746	77.2208	77.6777	78.1281	78.5834
1503	High-income countries	83.5154	84.1987	84.6041	85.043	85.4909	85.9896	86.466	86.9469	87.4375	87.9078	88.3446	88.7702	89.2431	89.7733	90.303	90.7266
1859	Low-and-middle-income countries	73.4002	74.4562	75.0455	75.6192	76.1905	76.6874	77.1408	77.5623	78.0175	78.4016	78.8015	79.1792	79.5303	79.8845	80.2382	80.6324
1517	Middle-income countries	74.2897	75.2868	75.878	76.4425	77.0087	77.5112	77.9881	78.4468	78.877	79.2975	79.7322	80.0985	80.5032	80.8723	81.2377	81.6286
1502	Upper-middle-income countries	78.4754	79.2244	79.6837	80.1658	80.6904	81.191	81.684	82.199	82.6741	83.1714	83.6182	84.0345	84.5047	84.9934	85.4088	85.8604
1501	Lower-middle-income countries	70.6692	71.725	72.2894	72.9539	73.5882	74.1799	74.766	75.2917	75.8726	76.3312	76.8894	77.3503	77.8119	78.2709	78.7419	79.1438
1500	Low-income countries	66.5388	67.7103	68.4037	69.0896	69.7183	70.3447	70.9301	71.4864	72.0242	72.6015	73.116	73.6365	74.1736	74.6385	75.1292	75.5589
1518	No income group available	76.108	75.5924	75.7035	75.9962	76.2424	76.7142	77.1575	77.5685	77.9753	78.4891	79.1154	79.6031	79.9931	80.3783	80.9614	81.4515
903	Africa	65.1636	66.2898	67.0032	67.7042	68.4429	69.1333	69.7693	70.3691	70.9986	71.6145	72.1772	72.7292	73.2416	73.7992	74.3848	74.8781
910	Eastern Africa	67.6489	68.6752	69.4116	70.1578	70.8663	71.5721	72.1791	72.7796	73.4024	74.0664	74.7205	75.3441	75.9353	76.4806	77.0196	77.5182
108	Burundi	64.8787	64.5226	64.4442	64.5254	64.7629	65.0071	65.2453	65.6172	65.9041	66.2109	66.5677	66.9357	67.303	67.6594	68.0147	68.3898
174	Comoros	68.2595	68.1747	68.5055	68.9652	69.5105	70.0787	70.7167	71.2169	71.8364	72.3926	72.8731	73.4544	74.0064	74.5612	75.0784	75.5514
262	Djibouti	67.6286	67.5968	67.6864	68.0522	68.4517	68.8394	69.2457	69.6859	70.1249	70.6093	71.0642	71.5002	71.97	72.4759	72.9495	73.4567
232	Eritrea	69.8331	69.9983	70.3273	70.7903	71.3304	71.9575	72.4668	72.9904	73.5105	74.0417	74.5733	75.0809	75.5669	76.1114	76.6685	77.1836
231	Ethiopia	69.9292	70.0878	70.4317	70.9661	71.4932	72.0225	72.5899	73.1086	73.6362	74.1838	74.798	75.3169	75.859	76.4074	76.9398	77.3505
404	Kenya	65.06	64.8882	64.9667	65.2575	65.5617	65.9276	66.3429	66.7391	67.1047	67.5318	68.0042	68.4781	68.8286	69.3605	69.7804	70.1435
450	Madagascar	64.7292	64.4041	64.5498	64.9384	65.3573	65.7792	66.2114	66.6275	67.1029	67.4916	67.8689	68.2621	68.6305	69.0757	69.5318	69.9548
454	Malawi	69.4835	69.554	69.5249	69.7139	70.0117	70.3232	70.6076	70.9347	71.3266	71.6874	72.0565	72.4709	72.7819	73.1767	73.7039	74.1181
480	Mauritius	77.4717	77.4298	77.5144	77.8341	78.1931	78.6281	79.0738	79.5733	80.0286	80.5357	81.0368	81.5539	82.0134	82.499	83.0137	83.5083
175	Mayotte	77.2262	77.6644	77.881	78.2337	78.6549	79.0822	79.5653	80.0127	80.4692	80.9541	81.4249	81.9068	82.3619	82.7296	83.2084	83.6644
508	Mozambique	65.2866	65.4594	65.4114	65.635	65.9201	66.1858	66.5122	66.8572	67.2032	67.5333	67.8281	68.1806	68.5073	68.7627	69.1198	69.5138
638	Réunion	85.3285	85.7153	85.7405	85.8934	86.1547	86.4288	86.7351	87.0282	87.3208	87.6349	87.9787	88.3261	88.6574	89.0082	89.3672	89.7281
646	Rwanda	69.3575	69.0677	69.282	69.6861	70.0672	70.4986	70.9909	71.5191	71.9922	72.5046	73.021	73.5056	73.9572	74.4773	74.9603	75.4642
690	Seychelles	75.4725	75.6473	75.7429	75.9622	76.2936	76.6912	77.0107	77.4133	77.8025	78.1976	78.6172	79.0559	79.487	79.9557	80.4343	80.8963
706	Somalia	59.1571	60.0226	59.8043	59.7901	59.8773	60.052	60.3097	60.5982	60.8763	61.07	61.3867	61.7561	62.0679	62.3464	62.7447	63.0807
728	South Sudan	60.0275	59.0227	58.6199	58.4406	58.4713	58.5095	58.6273	58.6999	58.8049	58.9512	59.2019	59.4004	59.6666	59.8633	60.0174	60.133
800	Uganda	70.2702	70.3245	70.5635	70.9064	71.33	71.831	72.3527	72.8507	73.3363	73.8545	74.3431	74.7846	75.2801	75.7652	76.2255	76.7173
834	United Republic of Tanzania	69.4065	68.8563	69.0109	69.3672	69.6486	70.0517	70.4518	70.9008	71.3482	71.811	72.2412	72.7131	73.2178	73.6779	74.105	74.6363
894	Zambia	67.2718	67.6438	67.6275	67.8192	68.115	68.5081	68.8484	69.1777	69.4919	69.8358	70.2833	70.7078	71.2145	71.7371	72.1186	72.467
716	Zimbabwe	64.0566	64.3417	64.7974	65.4135	66.0807	66.7754	67.4145	68.0639	68.6583	69.3044	69.9663	70.5511	71.106	71.6423	72.1733	72.771
911	Middle Africa	62.9774	63.8645	64.2108	64.6688	65.2241	65.6214	66.0422	66.4069	66.8914	67.472	67.917	68.3613	68.9074	69.3996	69.8359	70.3903
24	Angola	66.3711	66.0931	66.1181	66.2665	66.4631	66.7543	67.0298	67.3745	67.6994	67.9992	68.3357	68.658	69.0045	69.4743	69.7752	70.1396
120	Cameroon	64.7679	65.1712	65.4695	65.8899	66.3555	66.8449	67.3065	67.8141	68.2554	68.7676	69.3032	69.7859	70.2232	70.8032	71.305	71.7312
140	Central African Republic	49.2835	58.2231	58.3573	58.6719	59.0798	59.5379	60.031	60.5231	60.9748	61.5349	62.0208	62.4607	62.9783	63.6012	64.0541	64.6039
