country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
901	More developed regions	-301.368	-488.235	-463.684	-14.64	-240.348	-166.02	-369.124	318.326	5.833	-171.204	87.211	350.138	755.348	677.736	514.003	825.874	999.877	451.768	1031.051	1173.656	587.295	1816.042	1523.089	1491.22	1069.159	790.05	970.119	870.032	834.421	1024.787	1551.345	775.669	492.205	743.224	686.598	1100.655	1289.77	1254.631	1732.895	1594.563	2542.601	2514.539	1287.743	2476.682	3339.953	2206.592	2402.8	2085.28	1237.768	2378.047	2789.933	2901.03	4729.781	3697.443	3525.884	3366.401	3084.96	4017.976	3618.095	3118.779	3244.191	3236.117	3020.365	3257.252	3375.409	4513.952	4582.887	4591.566	4632.986	4601.947	2174.497	2629.417	2128.869	3603.208	2023
902	Less developed regions	301.368	488.235	463.684	14.64	240.348	166.02	369.124	-318.326	-5.833	171.204	-87.211	-350.138	-755.348	-677.736	-514.003	-825.874	-999.877	-451.768	-1031.051	-1173.656	-587.295	-1816.042	-1523.089	-1491.22	-1069.159	-790.05	-970.119	-870.032	-834.421	-1024.787	-1551.346	-775.669	-492.205	-743.224	-686.598	-1100.655	-1289.77	-1254.631	-1732.895	-1594.563	-2542.601	-2514.539	-1287.743	-2476.682	-3339.953	-2206.592	-2402.8	-2085.28	-1237.768	-2378.047	-2789.933	-2901.03	-4729.781	-3697.443	-3525.884	-3366.401	-3084.96	-4017.976	-3618.095	-3118.779	-3244.191	-3236.117	-3020.365	-3257.252	-3375.409	-4513.952	-4582.887	-4591.566	-4632.986	-4601.947	-2174.497	-2629.417	-2128.866	-3603.203	2023
941	Least developed countries	-99.374	-115.764	-169.824	-285.127	-258.815	-264.933	-268.638	-287.076	-451.805	-234.288	-165.858	-114.799	-144.783	-151.253	-95.494	-60.088	-91.605	-26.857	-50.181	-242.477	-340.647	-44.176	-526.493	-90.663	-453.575	-616.063	-823.763	-1217.677	-183.168	-1041.913	-2939.939	-2207.694	-516.1	-315.838	-251.553	-617.59	-839.205	-919.793	-1182.599	-1002.966	-1706.495	-792.319	787.614	830.402	484.579	-26.22	-700.3	-649.541	-755.634	-1322.559	-2370.919	-1824.473	-902.185	-1761.319	-2267.354	-1784.38	-2253.801	-3105.726	-1987.633	-2307.497	-2292.94	-1690.871	-1831.404	-1620.147	-1794.903	-2004.088	-1393.631	-1615.156	-1459.459	-1231.122	-825.923	-1806.701	-2090.932	-1841.59	2023
934	Less developed regions, excluding least developed countries	400.742	604	633.508	299.767	499.163	430.953	637.762	-31.25	445.972	405.493	78.648	-235.338	-610.565	-526.482	-418.509	-765.786	-908.272	-424.912	-980.87	-931.179	-246.648	-1771.866	-996.596	-1400.558	-615.583	-173.987	-146.355	347.645	-651.254	17.125	1388.593	1432.025	23.895	-427.386	-435.045	-483.065	-450.565	-334.838	-550.296	-591.598	-836.106	-1722.22	-2075.357	-3307.084	-3824.532	-2180.372	-1702.499	-1435.738	-482.134	-1055.488	-419.014	-1076.557	-3827.595	-1936.125	-1258.53	-1582.022	-831.159	-912.25	-1630.462	-811.282	-951.25	-1545.246	-1188.961	-1637.105	-1580.506	-2509.864	-3189.256	-2976.41	-3173.527	-3370.825	-1348.575	-822.716	-37.935	-1761.614	2023
948	Less developed regions, excluding China	297.268	480.396	445.8	-8.468	208.587	117.661	297.201	-408.125	-97.054	89.078	-143.169	-143.998	-480.736	-421.273	-533.592	-891.347	-996.951	-437.088	-1265.678	-1384.709	-729.497	-1757.298	-1394.356	-1278.286	-940.841	-675.152	-972.969	-926.606	-892.882	-1077.432	-1569.961	-759.046	-464.256	-715.556	-652.897	-1061.156	-1194.159	-1049.941	-1405.101	-1217.418	-2448.712	-2026.251	-1226.228	-2166.565	-2672.497	-1895.333	-2202.746	-1865.484	-1265.124	-2356.494	-2745.098	-2763.022	-4001.952	-3099.529	-2776.875	-3285.913	-2383.593	-3041.353	-2916.828	-3011.934	-3096.402	-2869.234	-3029.634	-3105.782	-3044.72	-3895.772	-4475.146	-4530.933	-4452.049	-3964.76	-2068.738	-2109.07	-1815.411	-3008.083	2023
1636	Land-locked Developing Countries (LLDC)	91.537	76.116	47.036	0.254	-10.576	-17.04	-14.154	-19.577	-74.563	16.174	33.213	104.761	80.862	105.372	166.174	145.393	159.378	172.588	166.927	72.64	-17.276	-117.674	-241.63	-111.462	-113.11	-233.103	-134.956	-621.067	-446.178	-1684.751	-2107.543	-1768.494	-502.954	-456.196	-179.614	-580.452	-554.969	-314.595	4.203	-176.739	-777.532	416.221	673.794	-785.167	-2863.774	-596.89	182.659	-925.139	-1111.29	-861.192	-1900.803	-1012.015	249.575	-252.673	-883.389	-504.573	-680.55	-1645.386	-546.258	-668.98	-734.728	-376.238	-903.811	-952.189	-1180.621	-1423.559	-1344.313	-1360.356	-407.237	22.634	263.859	-737.64	-1151.279	86.709	2023
2087	LLDC: Africa	-31.652	-36.964	-49.755	-72.068	-71.702	-76.086	-79.309	-81.873	-109.718	-80.097	-86.668	-59.766	-93.944	-88.2	-42.779	-84.336	-67.363	-72.018	-76.061	-120.854	-149.124	-194.753	-326.857	-182.519	-160.844	-246.447	-269.216	-785.782	-521.968	-1011.412	-778.771	406.644	192.281	-80.94	-143.117	-69.7	24.625	302.946	261.653	93.957	83.042	741.232	191.176	-1111.963	-2291.159	92.742	947.292	2.25	-165.669	-291.296	-462.516	-392.805	-212.017	-69.445	-137.59	-262.588	-177.513	-199.675	-128.969	-42.253	-30.938	-175.879	-385.283	-388.076	-903.671	-762.678	-743.225	-824.929	65.825	-113.993	-3.3	-279.93	-280.765	614.177	2023
2088	LLDC: Asia	145.606	134.584	116.616	90.559	89.52	86.409	91.859	89.426	64.086	112.395	136.264	176.632	192.825	200.834	215.648	235.207	230.361	246.059	242.169	190.395	148.675	94.707	99.446	81.304	56.676	22.368	143.415	174.068	85.296	-652.508	-1310.321	-2152.733	-657.802	-333.552	9.88	-465.513	-535.479	-570.717	-215.715	-203.133	-787.745	-220.921	590.303	438.881	-485.373	-618.197	-693.909	-847.899	-865.403	-486.088	-1348.786	-521.163	569.389	-73.839	-632.376	-113.293	-362.669	-1294.688	-261.954	-474.559	-564.324	-67.683	-388.777	-437.644	-159.683	-551.113	-498.494	-441.03	-386.283	227.308	336.91	-405.933	-938.864	-487.793	2023
2089	LLDC: Europe	1.286	0.899	1.373	1.89	-8.938	-8.213	-7.992	-8.36	-10.052	3.222	3.571	8.509	2.182	11.057	11.571	12.681	14.425	16.479	18.629	20.742	0.666	-2.125	-1.353	-0.444	0.409	1.208	1.974	2.562	3.021	-7.338	-3.882	-6.452	-20.128	-23.427	-25.983	-24.119	-22.358	-24.431	-18.61	-42.835	-46.227	-74.688	-76.645	-78.799	-52.622	-35.578	-33.766	-42.22	-42.564	-44.372	-46.678	-45.965	-48.691	-49.827	-55.131	-70.925	-81.693	-91.439	-97.238	-99.001	-100.707	-100.142	-100.298	-97.868	-89.307	-82.409	-75.786	-68.098	-60.963	-65.437	-56.863	-38.888	83.858	-24.167	2023
2090	LLDC: Latin America	-23.703	-22.402	-21.198	-20.127	-19.456	-19.15	-18.712	-18.77	-18.879	-19.346	-19.955	-20.614	-20.201	-18.319	-18.267	-18.159	-18.045	-17.932	-17.811	-17.643	-17.494	-15.503	-12.866	-9.803	-9.351	-10.231	-11.129	-11.915	-12.528	-13.493	-14.57	-15.953	-17.305	-18.277	-20.394	-21.12	-21.757	-22.393	-23.125	-24.729	-26.602	-29.402	-31.04	-33.287	-34.62	-35.857	-36.958	-37.27	-37.654	-39.436	-42.824	-52.081	-59.106	-59.562	-58.292	-57.767	-58.675	-59.583	-58.097	-53.167	-38.759	-32.533	-29.452	-28.601	-27.96	-27.359	-26.808	-26.299	-25.816	-25.244	-12.889	-12.889	-15.508	-15.508	2023
