country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
900	World	36.831	36.464	37.681	36.935	37.301	37.131	36.402	37.165	35.945	34.39	33.951	32.938	35.871	37.523	35.93	35.338	34.439	33.661	34.364	33.769	33.599	32.824	32.134	31.515	30.705	29.732	29.275	28.637	28.457	28.614	28.655	28.643	28.878	28.094	28.097	28.009	28.096	27.991	27.419	27.176	26.927	25.524	24.808	24.257	23.811	23.416	22.992	22.614	22.283	22.017	21.997	21.644	21.364	21.136	21.004	20.824	20.755	20.709	20.711	20.622	20.416	20.233	20.282	19.887	19.68	19.321	19.164	18.782	18.155	17.743	17.081	16.777	16.515	16.327
1834	Sub-Saharan Africa	46.758	46.911	47.029	47.175	47.247	47.324	47.4	47.485	47.556	47.573	47.615	47.655	47.707	47.706	47.695	47.683	47.747	47.737	47.72	47.71	47.689	47.73	47.693	47.631	47.663	47.675	47.599	47.553	47.452	47.398	47.27	47.03	46.845	46.74	46.427	46.15	45.8	45.504	45.163	44.812	44.416	44.1	43.775	43.506	43.048	43.114	42.864	42.514	42.201	42.132	41.964	41.751	41.477	41.257	41.091	40.969	40.733	40.404	40.203	39.793	39.4	38.975	38.458	37.903	37.423	36.808	36.206	35.684	35.153	34.638	34.133	33.821	33.467	33.112
1833	Northern Africa and Western Asia	47.79	47.981	48.206	48.226	48.049	47.627	47.445	46.74	46.488	46.429	46.175	46.171	46.249	45.807	45.262	44.617	44.101	43.55	43.058	42.66	42.349	42.054	41.63	41.096	40.666	40.284	39.939	39.542	39.259	39.107	38.815	38.438	38.025	37.617	36.989	36.43	35.685	34.897	34.263	33.46	32.615	31.884	31.182	30.46	29.846	29.071	28.341	27.922	27.522	27.071	26.564	26.115	25.646	25.448	25.391	25.353	25.395	25.45	25.41	25.378	25.355	25.263	25.411	25.229	25.052	24.653	24.015	23.595	22.756	22.089	21.579	21.005	20.616	20.549
1831	Central and Southern Asia	44.438	44.585	44.774	44.931	45.02	44.925	44.787	44.658	44.388	44.134	44.035	43.812	43.591	43.294	42.999	42.558	42.122	41.773	41.41	41.015	40.742	40.662	40.449	40.241	39.995	39.487	39.397	38.902	38.614	38.56	38.606	38.382	38.073	37.739	37.488	36.984	36.644	35.875	35.224	34.585	33.865	33.186	32.435	31.695	31.092	30.454	29.809	29.284	28.802	28.392	28.129	27.753	27.13	26.482	25.867	25.174	24.649	24.208	23.895	23.629	23.148	22.717	22.323	21.859	21.129	20.945	20.702	20.073	19.931	19.454	18.972	18.784	18.623	18.402
1832	Eastern and South-Eastern Asia	39.99	38.812	42.23	39.959	40.89	40.505	38.413	40.719	37.382	32.988	31.894	29.211	38.579	43.979	39.861	39.133	37.185	35.36	37.921	36.48	36.158	34.071	32.64	31.309	29.084	26.722	25.478	23.893	23.567	23.927	23.96	24.171	25.015	22.969	23.332	23.546	24.139	24.558	23.547	23.604	23.693	20.482	19.324	18.624	18.061	17.543	16.96	16.393	15.869	15.468	15.644	15.002	14.723	14.495	14.479	14.414	14.493	14.605	14.74	14.776	14.628	14.56	15.108	14.478	14.53	13.833	13.946	13.664	12.168	11.688	10.348	9.618	9.121	8.817
1830	Latin America and the Caribbean	43.538	43.511	43.437	43.347	43.234	43.081	42.942	42.751	42.515	42.289	42.022	41.693	41.403	41.03	40.472	39.786	39.045	38.318	37.651	37.116	36.639	36.198	35.732	35.285	34.764	34.329	33.951	33.571	33.153	32.701	32.222	31.814	31.431	30.96	30.416	29.893	29.405	28.777	28.194	27.681	27.155	26.646	26.098	25.69	25.22	24.754	24.219	23.77	23.317	22.799	22.258	21.701	21.173	20.643	20.259	19.902	19.486	19.131	18.867	18.614	18.338	18.127	17.822	17.567	17.342	17.003	16.492	16.211	15.969	15.505	14.938	14.669	14.422	14.198
1835	Oceania (excluding Australia and New Zealand)	44.552	45.099	45.462	45.711	45.637	45.725	45.596	45.499	45.228	44.86	44.567	44.252	44.198	43.812	43.579	43.251	43.023	42.637	42.361	42.074	41.656	41.188	40.679	40.007	39.381	38.922	38.514	38.077	37.611	37.17	36.835	36.647	36.481	36.496	36.345	36.166	35.91	35.708	35.537	35.21	34.915	34.412	34.059	33.83	33.444	33.094	32.906	32.673	32.423	32.284	32.063	31.839	31.562	31.301	30.957	30.648	30.38	30.049	29.784	29.406	29.127	28.762	28.399	28.012	27.664	27.193	26.739	26.232	25.828	25.366	25.001	24.562	24.165	23.653
1836	Australia/New Zealand	23.58	23.337	23.72	23.299	22.952	23.024	23.016	23.21	23.053	23.011	22.958	23.372	22.582	22.069	20.955	20.052	19.741	19.853	20.41	20.7	20.701	21.703	20.709	19.122	18.454	17.353	16.488	16.234	15.776	15.598	15.481	15.795	15.777	15.738	15.353	15.51	15.333	15.263	15.28	15.31	15.738	15.284	15.368	15.035	14.722	14.394	14.111	13.858	13.526	13.454	13.315	12.974	12.913	12.853	12.936	13.193	13.34	14.063	14.201	13.863	13.775	13.516	13.542	13.196	12.696	12.791	12.677	12.412	12.371	11.95	11.441	11.686	11.565	11.497
1829	Europe and Northern America	22.636	22.427	22.321	22.093	22.085	21.908	21.796	21.772	21.576	21.443	21.165	20.771	20.027	19.589	19.04	18.123	17.582	17.307	16.918	16.8	16.717	16.467	15.849	15.389	15.436	15.186	15.086	15.081	14.97	15.038	15.077	14.887	14.914	14.851	14.684	14.565	14.584	14.503	14.366	14.069	13.841	13.323	12.804	12.232	11.92	11.607	11.45	11.286	11.212	11.063	11.143	11.03	11.046	11.196	11.298	11.282	11.505	11.701	11.883	11.77	11.624	11.419	11.448	11.238	11.266	11.14	11.039	10.619	10.314	10.019	9.717	9.718	9.426	9.174
5502	Europe, Northern America, Australia, and New Zealand	22.649	22.44	22.341	22.11	22.098	21.925	21.814	21.794	21.598	21.467	21.193	20.812	20.068	19.628	19.071	18.154	17.617	17.349	16.977	16.866	16.785	16.559	15.935	15.455	15.49	15.225	15.112	15.102	14.985	15.048	15.085	14.904	14.93	14.868	14.697	14.584	14.598	14.518	14.384	14.094	13.879	13.363	12.857	12.289	11.978	11.665	11.506	11.34	11.261	11.114	11.19	11.073	11.087	11.233	11.335	11.325	11.547	11.756	11.937	11.819	11.675	11.469	11.499	11.287	11.301	11.181	11.08	10.666	10.368	10.07	9.762	9.771	9.484	9.238
901	More developed regions	23.268	22.778	22.483	22.073	21.915	21.683	21.484	21.335	21.237	21.074	20.786	20.4	19.74	19.374	18.924	18.193	17.294	17.542	17.123	16.992	16.945	16.826	16.309	15.914	15.859	15.46	15.247	15.14	14.978	14.963	14.911	14.677	14.668	14.595	14.415	14.251	14.212	14.102	13.945	13.63	13.413	12.955	12.492	11.97	11.724	11.416	11.286	11.131	11.069	10.924	11.001	10.882	10.878	10.987	11.063	11.02	11.232	11.419	11.583	11.462	11.331	11.132	11.151	10.953	10.949	10.842	10.733	10.337	10.051	9.749	9.457	9.446	9.173	8.927
902	Less developed regions	43.399	43.032	44.897	43.912	44.441	44.212	43.156	44.243	42.442	40.215	39.669	38.348	42.758	45.151	42.962	42.318	41.311	40.022	41.057	40.175	39.851	38.735	37.895	37.107	35.945	34.692	34.078	33.191	32.939	33.085	33.09	33.079	33.319	32.244	32.235	32.103	32.161	31.993	31.24	30.959	30.644	28.932	28.1	27.493	26.952	26.491	25.949	25.475	25.038	24.703	24.625	24.184	23.81	23.478	23.272	23.036	22.88	22.76	22.707	22.604	22.361	22.162	22.196	21.74	21.472	21.044	20.864	20.469	19.76	19.313	18.564	18.188	17.914	17.723
941	Least developed countries	47.287	47.404	47.503	47.598	47.675	47.709	47.738	47.775	47.815	47.848	47.909	47.919	47.915	47.816	47.716	47.601	47.517	47.451	47.343	47.277	47.263	47.237	47.272	47.025	46.87	46.645	46.484	46.332	46.261	46.424	46.525	46.27	45.967	45.663	45.343	44.976	44.459	43.987	43.513	43.149	42.794	42.279	41.793	41.491	41.178	40.9	40.505	40.148	39.741	39.482	39.176	38.774	38.321	37.907	37.535	37.118	36.737	36.341	35.884	35.478	35.025	34.556	34.201	33.88	33.593	33.341	33.107	32.858	32.642	32.41	32.148	31.904	31.675	31.371
934	Less developed regions, excluding least developed countries	42.878	42.446	44.548	43.42	44.011	43.749	42.551	43.778	41.737	39.213	38.581	37.077	42.071	44.797	42.331	41.619	40.489	39.037	40.222	39.231	38.865	37.607	36.651	35.786	34.485	33.091	32.411	31.421	31.137	31.272	31.26	31.282	31.59	30.399	30.423	30.314	30.444	30.311	29.512	29.234	28.918	27.026	26.127	25.454	24.857	24.347	23.761	23.247	22.782	22.413	22.349	21.88	21.493	21.148	20.945	20.714	20.57	20.473	20.466	20.392	20.162	19.987	20.066	19.563	19.273	18.788	18.589	18.138	17.303	16.78	15.897	15.452	15.127	14.916
948	Less developed regions, excluding China	44.565	44.482	44.793	44.922	45.083	44.975	44.894	44.886	44.708	44.479	44.337	43.981	43.893	43.609	43.213	42.748	42.287	41.865	41.451	41.061	40.742	40.491	40.185	39.832	39.411	38.984	38.726	38.324	38.059	37.939	37.806	37.542	37.241	36.891	36.491	35.949	35.461	34.828	34.307	33.781	33.2	32.714	32.111	31.57	31.047	30.581	30.05	29.586	29.132	28.757	28.454	28.111	27.646	27.226	26.872	26.507	26.22	25.966	25.765	25.552	25.259	25.006	24.73	24.347	23.897	23.602	23.198	22.706	22.369	21.924	21.48	21.229	21.031	20.841
