country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
900	World	46.3944	47.1259	48.2183	48.809	49.6514	50.2055	50.7373	51.0636	51.6151	49.5818	47.8198	50.3459	53.2416	53.7161	54.2603	53.9975	54.5644	55.0678	55.6181	55.9999	56.2664	56.0193	57.2155	57.6923	58.0614	58.2681	58.5754	59.1539	59.5129	60.1571	60.502	60.9187	61.3435	61.5211	61.8663	62.2092	62.7297	63.1809	63.3672	63.7817	63.955	64.0642	64.2879	64.4334	64.2995	64.8817	65.1995	65.5406	65.7408	66.0412	66.4333	66.7531	67.068	67.4015	67.7449	68.1405	68.6137	69.0316	69.3017	69.6812	70.089	70.4033	70.824	71.1417	71.4038	71.606	71.8768	72.067	72.3885	72.6093	71.9166	70.865	72.6398	73.1694	2023
1834	Sub-Saharan Africa	37.1609	37.5653	37.9392	38.3254	38.7234	39.1049	39.487	39.1515	39.4801	40.5349	40.7196	40.9915	41.5065	41.7654	42.1145	42.3387	42.3701	42.6566	43.1763	43.4238	43.9157	44.3123	44.2643	44.967	45.1727	45.5103	46.2581	46.6857	46.9934	47.4504	47.7785	48.0438	48.3313	47.5613	47.6449	47.972	48.2195	48.8296	48.5877	49.2895	49.1497	48.9061	48.7694	49.1986	46.9269	49.706	49.6797	49.8628	49.5888	50.3066	50.9719	51.3184	51.7293	52.2587	52.8673	53.4149	53.9953	54.6579	55.3234	55.3443	56.509	56.7206	57.6552	58.1665	58.3589	58.7512	59.142	59.4523	60.1919	60.4995	60.6006	60.1086	61.09	62.1199	2023
1833	Northern Africa and Western Asia	40.581	41.444	42.2443	42.9077	43.319	43.9907	44.5932	45.1247	45.6475	46.325	46.842	47.6103	48.0813	49.054	49.6503	50.1966	50.6877	51.1499	51.695	52.1998	52.73	53.3275	53.9199	54.3507	54.9457	55.5085	55.8238	57.0062	57.711	58.4102	59.0114	59.5854	59.8928	60.5061	61.0934	61.7228	62.6122	63.2311	63.2213	63.886	64.2886	64.8918	65.418	65.7552	66.0447	66.4365	66.8492	67.1688	67.5434	67.7936	68.2837	68.6375	68.9659	69.0581	69.1329	69.4173	69.8823	70.2559	70.6122	71.0422	71.2945	71.3525	71.4323	71.6998	72.0492	72.1372	72.3598	72.7235	73.027	73.3561	72.0781	71.7075	73.5458	73.7679	2023
1831	Central and Southern Asia	40.2755	40.8094	41.3847	41.7995	42.631	43.1909	43.6516	44.0613	44.5115	45.0435	45.4366	45.7982	46.1966	46.5757	47.0091	46.2	46.7247	47.1038	48.4781	48.8765	48.6143	46.16	49.9239	50.345	50.8261	51.3842	51.8953	52.4023	52.8919	53.4901	54.034	54.5155	55.0395	55.5861	56.0393	56.495	57.1143	57.5432	58.0141	58.4661	58.7881	58.9808	59.5697	59.9334	60.2946	60.6485	61.029	61.4269	61.8552	62.3354	62.8205	63.2719	63.7659	64.1754	64.574	64.96	65.4779	65.8734	66.2939	66.6763	67.1298	67.5607	67.9791	68.3796	68.7758	69.1371	69.5269	69.8661	70.1958	70.5109	69.7075	67.5385	71.4182	71.7436	2023
1832	Eastern and South-Eastern Asia	43.0879	44.3945	46.0927	46.8689	47.9292	48.5583	49.1306	49.6801	50.2137	44.2667	39.5561	44.9624	52.4076	53.0296	53.6713	53.4755	54.6166	55.6439	56.1535	56.9228	57.5754	58.4025	58.9748	59.8347	60.4182	60.5718	60.9253	61.8914	62.4672	63.6303	64.0807	64.6135	65.1015	65.5183	65.9834	66.3938	66.7852	67.1945	67.5202	67.8898	68.1338	68.5398	68.9635	69.3748	69.6864	69.9445	70.3733	70.7405	71.0646	71.3336	71.7044	72.0557	72.3889	72.7997	72.8361	73.3828	73.6689	74.0141	73.9045	74.5345	74.8091	75.0087	75.314	75.5511	75.8041	76.0291	76.2422	76.3313	76.6325	76.8144	76.704	76.2607	76.821	76.8324	2023
1830	Latin America and the Caribbean	48.6817	49.2756	49.9218	50.5689	51.2207	51.784	52.3819	52.9208	53.5458	54.1052	54.6888	55.2166	55.6651	56.0838	56.5388	56.9927	57.5082	57.9262	58.2523	58.5444	58.5446	59.4459	59.8631	60.3368	60.748	61.3038	61.6011	62.2275	62.6362	62.9687	63.292	63.7238	64.001	64.6057	64.9949	65.2474	65.8914	66.2648	66.6534	67.0203	67.3629	67.7004	67.9839	68.3235	68.7173	69.1026	69.4892	69.8943	70.0708	70.4927	70.8137	71.1087	71.5195	71.8362	72.1592	72.5387	72.8154	73.029	73.2517	73.4495	73.2202	73.9444	74.1841	74.4085	74.6009	74.7937	74.7119	74.8745	75.1048	75.2559	73.2712	71.8294	74.6608	75.6915	2023
1835	Oceania (excluding Australia and New Zealand)	42.5612	40.0927	43.855	44.5293	45.2042	45.9455	46.5253	47.33	47.9902	48.5618	49.1934	49.7981	50.1914	51.0405	51.5413	52.2934	52.825	53.4328	54.025	54.5372	55.1043	55.5447	56.0805	56.4759	57.0577	57.5198	58.1374	58.6487	59.1421	59.4514	59.8287	60.1423	60.4254	60.7603	61.0697	61.3883	61.55	61.8035	62.0697	62.311	62.4273	62.627	62.8527	63.0196	63.2418	63.4132	63.5387	63.6892	63.156	63.934	63.9647	64.0159	63.9184	64.0338	64.1052	64.1785	64.3064	64.4316	64.6821	64.8256	65.1338	65.3936	65.4619	65.7725	65.978	66.1865	66.3948	66.6129	66.757	66.9248	66.6409	65.8048	66.9889	67.706	2023
1836	Australia/New Zealand	69.0437	68.7775	69.1522	69.7833	69.9452	70.2096	70.1591	70.2977	70.8512	70.4971	70.921	71.0865	70.9543	71.0119	70.6994	70.8739	70.7473	71.1154	70.7503	71.1445	70.7556	71.4991	71.7753	71.9867	71.8645	72.6725	72.7157	73.2233	73.6086	74.0928	74.2494	74.5779	74.5465	75.1523	75.3099	75.1553	75.7266	75.7552	76.0174	75.9744	76.7685	77.2422	77.2544	77.7465	77.6932	78.0055	78.0804	78.4081	78.8779	79.046	79.4614	79.7783	79.8533	80.2214	80.4988	80.9138	81.0487	81.0451	81.2293	81.5311	81.8539	81.8844	82.1096	82.3973	82.3365	82.4372	82.6707	82.5344	83.03	83.008	83.4995	83.3557	82.4838	83.6243	2023
1829	Europe and Northern America	63.4194	63.4162	64.555	65.2293	66.0599	66.6653	67.5471	67.6457	68.5162	68.731	69.0568	69.5026	69.4445	69.5926	70.131	70.1449	70.2838	70.4145	70.2176	70.1339	70.4493	70.6725	70.8472	70.9806	71.2248	71.2853	71.4295	71.6757	71.7455	71.912	71.9499	72.2045	72.5376	72.5641	72.7084	72.8698	73.3448	73.5748	73.6305	73.7373	73.7466	73.7639	73.5969	73.0589	73.0523	73.1957	73.7015	74.2023	74.4398	74.2806	74.4144	74.58	74.6015	74.675	75.1343	75.2374	75.7667	76.1243	76.3748	76.7937	76.9638	77.4614	77.6306	77.8882	78.0958	78.1185	78.3848	78.5728	78.6609	78.8673	77.5453	76.9381	78.1769	79.2045	2023
5502	Europe, Northern America, Australia, and New Zealand	63.4971	63.4919	64.6219	65.2957	66.1176	66.7185	67.5871	67.6867	68.553	68.7596	69.087	69.5293	69.4701	69.617	70.1421	70.1585	70.2938	70.4283	70.2295	70.1533	70.4578	70.6893	70.866	71.0003	71.2384	71.3101	71.453	71.7029	71.7772	71.9488	71.9886	72.2444	72.5724	72.6076	72.7527	72.9094	73.3856	73.6133	73.6726	73.778	73.8003	73.8263	73.664	73.1429	73.1368	73.2829	73.782	74.2798	74.5211	74.3681	74.5073	74.6767	74.6999	74.7785	75.2363	75.3446	75.8689	76.2214	76.4716	76.8887	77.0626	77.5527	77.724	77.9825	78.1864	78.211	78.478	78.6602	78.7568	78.9596	77.6709	77.0754	78.2823	79.3121	2023
