country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
901	More developed regions	2.863909	2.815953	2.796136	2.763266	2.764189	2.75652	2.750904	2.751191	2.758588	2.75861	2.745089	2.721059	2.661886	2.639081	2.603109	2.521501	2.406636	2.437002	2.37598	2.34221	2.319324	2.280986	2.188948	2.114074	2.083764	2.011438	1.968254	1.942951	1.912885	1.904048	1.892732	1.860394	1.858358	1.851062	1.832563	1.819398	1.824143	1.821988	1.816269	1.788178	1.774623	1.727644	1.67761	1.622235	1.601871	1.570781	1.562255	1.550343	1.550223	1.541534	1.561021	1.551216	1.558663	1.578822	1.595747	1.595742	1.632125	1.669622	1.700356	1.689987	1.677422	1.657144	1.670543	1.652765	1.663519	1.659509	1.654151	1.604428	1.570348	1.534556	1.497708	1.507135	1.476648	1.452492	2023
902	Less developed regions	5.932029	5.886659	6.16347	6.044246	6.144737	6.142978	6.025023	6.218721	6.000711	5.704762	5.637093	5.454344	6.135109	6.555068	6.287941	6.234158	6.107305	5.921088	6.089136	5.947796	5.881963	5.672444	5.502975	5.336187	5.114271	4.878972	4.736013	4.561226	4.472088	4.438129	4.390329	4.34168	4.32774	4.140073	4.092628	4.030312	3.999619	3.949045	3.826066	3.766273	3.710803	3.486374	3.381864	3.307897	3.246571	3.191231	3.133078	3.084383	3.039242	3.003799	2.998948	2.949029	2.906611	2.869667	2.848529	2.824659	2.808445	2.794809	2.79005	2.782741	2.758867	2.74274	2.759326	2.718938	2.705499	2.672526	2.670666	2.639749	2.565762	2.523741	2.441114	2.401828	2.375524	2.361091	2023
941	Least developed countries	6.419948	6.430631	6.44251	6.457625	6.477685	6.493814	6.512055	6.532264	6.551389	6.580547	6.608834	6.630539	6.651087	6.662986	6.674446	6.683026	6.694315	6.709126	6.716211	6.721533	6.73483	6.73949	6.738228	6.725442	6.713204	6.692195	6.669014	6.645196	6.641855	6.639204	6.624492	6.592908	6.555343	6.499015	6.438014	6.361794	6.269493	6.17877	6.088454	6.018702	5.942711	5.852544	5.766594	5.694019	5.631371	5.559776	5.487109	5.432518	5.363584	5.300283	5.23446	5.16352	5.096438	5.028483	4.964952	4.901834	4.838302	4.770948	4.703439	4.638172	4.563434	4.491388	4.430862	4.377827	4.329889	4.288868	4.250758	4.209374	4.168215	4.124794	4.076846	4.029375	3.983593	3.93637	2023
934	Less developed regions, excluding least developed countries	5.867197	5.814212	6.126388	5.988975	6.100014	6.095528	5.958887	6.175453	5.925167	5.585183	5.504089	5.293281	6.063401	6.539344	6.234873	6.173325	6.028629	5.816134	6.007124	5.846587	5.77074	5.532806	5.340515	5.152735	4.901826	4.637362	4.478122	4.283446	4.18415	4.146569	4.09602	4.049178	4.041629	3.8387	3.793892	3.734124	3.711826	3.666579	3.53967	3.481242	3.427745	3.186209	3.077944	3.000553	2.936397	2.880057	2.820852	2.770658	2.726186	2.691005	2.691605	2.641598	2.599329	2.562822	2.543728	2.521188	2.507167	2.496715	2.496873	2.492833	2.470765	2.457831	2.48093	2.436003	2.421228	2.381872	2.378606	2.342684	2.255629	2.206736	2.109181	2.064118	2.034255	2.019665	2023
948	Less developed regions, excluding China	5.970384	5.956347	6.002391	6.027324	6.065619	6.069565	6.082208	6.107277	6.11557	6.118853	6.134013	6.120277	6.146309	6.145144	6.123794	6.083085	6.036551	5.991683	5.939979	5.885242	5.834526	5.777179	5.711327	5.634563	5.548642	5.461006	5.39056	5.30368	5.223907	5.159991	5.103315	5.029695	4.954423	4.877347	4.796635	4.697221	4.611388	4.513811	4.423241	4.336468	4.247521	4.166345	4.075989	3.995113	3.919663	3.844562	3.768283	3.700607	3.633447	3.575049	3.526833	3.473277	3.409409	3.353515	3.307721	3.263949	3.227681	3.191589	3.163267	3.137581	3.102019	3.072563	3.042942	3.003434	2.961101	2.938458	2.902359	2.851053	2.816116	2.767254	2.717999	2.688906	2.666874	2.648809	2023
1636	Land-locked Developing Countries (LLDC)	6.111268	6.11151	6.121825	6.138763	6.153698	6.175356	6.203125	6.237515	6.281909	6.320891	6.359428	6.38187	6.39346	6.384481	6.358818	6.328376	6.300695	6.272965	6.238808	6.208058	6.203391	6.202971	6.203332	6.188504	6.184597	6.17741	6.161579	6.14123	6.111153	6.094634	6.093802	6.065295	6.037569	6.021958	6.014081	5.994425	5.963926	5.908059	5.827092	5.747507	5.689449	5.637033	5.57382	5.519711	5.452785	5.396311	5.30813	5.249525	5.188927	5.126913	5.062338	4.996526	4.948293	4.906618	4.879838	4.827469	4.782766	4.740038	4.68696	4.621201	4.55278	4.478664	4.413864	4.353031	4.308745	4.254867	4.19438	4.132397	4.097501	4.060747	4.019057	3.973562	3.914403	3.861602	2023
2087	LLDC: Africa	6.635569	6.64229	6.655103	6.671715	6.683852	6.694947	6.708214	6.72551	6.745461	6.77014	6.789494	6.806535	6.827218	6.84574	6.864546	6.882835	6.907206	6.928199	6.946555	6.952478	6.979465	7.003622	7.038528	7.068914	7.092997	7.126226	7.150009	7.176878	7.200227	7.211807	7.226228	7.22964	7.221261	7.198734	7.17206	7.141535	7.108647	7.065977	7.010224	6.950083	6.890071	6.830752	6.784574	6.744258	6.699165	6.659626	6.603564	6.5541	6.500505	6.443269	6.387645	6.33124	6.277306	6.216087	6.152611	6.086645	6.005019	5.914373	5.809847	5.705471	5.591695	5.472033	5.346459	5.22442	5.123016	5.030017	4.940572	4.854571	4.777196	4.697086	4.607784	4.518777	4.438395	4.35449	2023
2088	LLDC: Asia	5.64227	5.635112	5.648565	5.678065	5.701293	5.745455	5.799624	5.857432	5.931101	5.981393	6.045832	6.08472	6.101501	6.069081	6.008025	5.930672	5.857575	5.787303	5.701503	5.635333	5.604528	5.585851	5.553245	5.491096	5.456244	5.401742	5.337264	5.259144	5.162739	5.10346	5.057641	4.964374	4.861382	4.823498	4.826358	4.821448	4.784954	4.702648	4.585726	4.489294	4.435847	4.388162	4.295473	4.234236	4.155949	4.088445	3.924998	3.819235	3.721986	3.622315	3.525698	3.41793	3.356112	3.3302	3.338315	3.274123	3.257794	3.260431	3.246779	3.207079	3.174717	3.139236	3.144469	3.158529	3.177586	3.166035	3.127171	3.081983	3.101806	3.117572	3.139677	3.156534	3.115474	3.101022	2023
2089	LLDC: Europe	3.95378	3.932328	3.904918	3.826289	3.810404	3.72372	3.634436	3.573109	3.542431	3.537318	3.469983	3.345746	3.182758	3.112802	2.973179	2.947808	2.903612	2.849423	2.798876	2.746638	2.718944	2.691457	2.670058	2.62201	2.612625	2.580986	2.523499	2.446484	2.396078	2.388588	2.373913	2.366187	2.396896	2.474066	2.534327	2.541635	2.586293	2.633749	2.5347	2.389244	2.346693	2.282118	2.236144	2.16197	2.072235	1.926191	1.825796	1.834629	1.732762	1.630603	1.622538	1.561903	1.565222	1.573226	1.544009	1.5165	1.537178	1.56752	1.619883	1.697678	1.708447	1.644558	1.677976	1.649535	1.801318	1.827113	1.846038	1.770358	1.769737	1.720796	1.703857	1.689606	1.642389	1.622614	2023
2090	LLDC: Latin America	6.282602	6.283282	6.27974	6.294033	6.303123	6.322914	6.326971	6.340096	6.345115	6.348063	6.344769	6.331979	6.319939	6.303284	6.280708	6.238309	6.184849	6.123561	6.060587	5.987313	5.911862	5.830428	5.746013	5.684548	5.624052	5.560623	5.532254	5.473979	5.416702	5.379636	5.345953	5.318717	5.269364	5.218388	5.169651	5.089659	5.048254	4.984645	4.934368	4.86167	4.777745	4.71211	4.598161	4.476939	4.382892	4.296988	4.215622	4.103016	4.016534	3.931051	3.80653	3.688041	3.584696	3.493908	3.413419	3.33705	3.290238	3.212985	3.150917	3.090177	3.021777	2.968178	2.922776	2.873251	2.837034	2.798274	2.75446	2.709017	2.66804	2.62811	2.594007	2.562781	2.532102	2.500897	2023
