country_code	country	age	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
400	Jordan	85	0.27531536	0.25960916	0.25206135	0.24655105	0.24025963	0.23474572	0.22873233	0.22429997	0.22287519	0.22116776	0.21846417	0.21423582	0.21026254	0.19681678	0.19543003	0.16923299	0.16006341	0.15067316	0.14139903	0.13235583	0.12352313	0.11534341	0.10765989	0.10066883	0.09437992	0.08872702	0.08326533	0.07831327	0.07384632	0.06961864
400	Jordan	90	0.40109788	0.38401423	0.37778465	0.37391366	0.36801618	0.36294823	0.35727696	0.35292659	0.35174955	0.35033244	0.34841935	0.34400219	0.33949861	0.31071193	0.31810808	0.2700739	0.25875521	0.24692007	0.23498124	0.22302836	0.21092672	0.19951507	0.18851684	0.17820223	0.1687867	0.16019907	0.15165677	0.14374939	0.13651765	0.12964874
400	Jordan	95	0.53156094	0.51493792	0.51205705	0.51215826	0.50755875	0.50373388	0.49968115	0.49620466	0.49573392	0.49513517	0.49500581	0.49146754	0.48726519	0.48021873	0.51336872	0.42590032	0.41283481	0.39900098	0.38482744	0.37029823	0.35505737	0.34051189	0.32604499	0.31182801	0.29864969	0.286427	0.27374696	0.26165849	0.25038684	0.23964698
400	Jordan	100+	0.66400597	0.651213	0.6531249	0.6563487	0.65499862	0.65463915	0.65328822	0.65165384	0.65213479	0.65270778	0.6557274	0.65422992	0.65133826	0.66083146	0.71511846	0.55052267	0.53951402	0.52750297	0.51492392	0.50173923	0.48730284	0.4735623	0.45968619	0.44575057	0.43292112	0.42117896	0.40854361	0.39642747	0.38518423	0.37468667
414	Kuwait	0	0.17199931	0.13793405	0.10251051	0.07406706	0.05440972	0.0394252	0.02708913	0.01930614	0.0152404	0.01285221	0.01148381	0.01046618	0.00929091	0.00846159	0.00780698	0.00626224	0.00513938	0.00420704	0.00347573	0.00292422	0.00249994	0.00217972	0.00193651	0.00174045	0.00157218	0.00143162	0.00130924	0.00120326	0.00111147	0.00102918
414	Kuwait	1	0.02060996	0.01362567	0.00817599	0.00486663	0.00308289	0.00198676	0.00123626	0.0008636	0.00067195	0.00053147	0.00047196	0.0004292	0.00038143	0.00034779	0.00032199	0.00026385	0.00021893	0.00018104	0.00015087	0.0001276	0.00010937	9.534e-05	8.445e-05	7.556e-05	6.79e-05	6.141e-05	5.567e-05	5.067e-05	4.633e-05	4.247e-05
414	Kuwait	5	0.00270218	0.00213552	0.00144496	0.0009422	0.00076193	0.00072628	0.00058451	0.00042584	0.00034036	0.00031857	0.00030483	0.00029615	0.00027222	0.00021933	0.00019183	0.00018038	0.00015161	0.0001269	0.00010684	9.122e-05	7.875e-05	6.898e-05	6.13e-05	5.494e-05	4.942e-05	4.468e-05	4.045e-05	3.674e-05	3.348e-05	3.058e-05
414	Kuwait	10	0.00161583	0.00121143	0.00080044	0.0005043	0.00042286	0.00046569	0.00041388	0.00030057	0.00024672	0.00023099	0.00021709	0.00022072	0.00023758	0.00020282	0.00018879	0.00016618	0.00014171	0.00012036	0.00010277	8.867e-05	7.731e-05	6.825e-05	6.101e-05	5.494e-05	4.96e-05	4.497e-05	4.079e-05	3.709e-05	3.382e-05	3.088e-05
414	Kuwait	15	0.00288721	0.00228805	0.00164599	0.00111251	0.00093131	0.00098209	0.00086509	0.00071747	0.00079119	0.00051154	0.00048473	0.00055705	0.00068892	0.00060478	0.00050378	0.00049422	0.00042493	0.00036386	0.00031268	0.00027133	0.00023761	0.00021033	0.00018822	0.00016952	0.00015303	0.00013859	0.00012542	0.0001137	0.00010332	9.404e-05
414	Kuwait	20	0.00384225	0.00303648	0.00218139	0.00145697	0.00121745	0.0013088	0.00116383	0.00107378	0.00144165	0.00069383	0.00065625	0.00077529	0.00101	0.00114235	0.00087116	0.00095075	0.00082443	0.0007121	0.00061689	0.0005391	0.00047512	0.00042271	0.00037977	0.00034316	0.00031073	0.00028213	0.0002558	0.00023228	0.00021136	0.00019266
